step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.487438,0.000000,0.885697,1.25e-05,2.5845,0.03,
1,0,0.489372,0.000000,0.823798,2.50e-05,2.2681,0.03,
2,0,0.486811,0.000000,0.846697,3.75e-05,1.7332,0.03,
3,0,0.478802,0.000000,0.807378,5.00e-05,0.4672,0.03,
4,0,0.477875,0.000000,0.860057,6.25e-05,0.5669,0.03,
5,0,0.488311,0.000000,0.897571,7.50e-05,0.6416,0.03,
6,0,0.488399,0.000000,0.827761,8.75e-05,0.6332,0.03,
7,0,0.473177,0.000000,0.826653,1.00e-04,0.3935,0.03,
8,0,0.492342,0.000000,0.795391,9.99e-05,0.7996,0.03,
9,0,0.483532,0.000000,0.827681,9.97e-05,0.2624,0.03,
10,0,0.469608,0.000000,0.837158,9.94e-05,0.1847,0.03,
11,0,0.485659,0.000000,0.799530,9.89e-05,0.2665,0.03,
12,0,0.482511,0.000000,0.809175,9.83e-05,0.1972,0.03,
13,0,0.482542,0.000000,0.805741,9.76e-05,0.2237,0.03,
14,0,0.477960,0.000000,0.869922,9.67e-05,0.1946,0.03,
15,0,0.478643,0.000000,0.823624,9.57e-05,0.1843,0.03,
16,0,0.488335,0.000000,0.832359,9.46e-05,0.1896,0.03,
16,0,,,,,,,0.474457
17,0,0.475752,0.000000,0.849221,9.33e-05,0.1547,0.00,
18,0,0.473981,0.000000,0.840272,9.19e-05,0.1553,0.03,
19,0,0.474114,0.000000,0.797938,9.05e-05,0.1852,0.03,
20,0,0.479454,0.000000,0.834531,8.89e-05,0.1722,0.03,
21,0,0.480842,0.000000,0.842923,8.72e-05,0.1652,0.03,
22,0,0.473789,0.000000,0.773735,8.54e-05,0.1792,0.03,
23,0,0.476910,0.000000,0.851820,8.35e-05,0.1445,0.03,
24,0,0.457973,0.000000,0.824693,8.15e-05,0.1486,0.03,
25,0,0.461284,0.000000,0.782419,7.94e-05,0.1966,0.03,
26,0,0.455349,0.000000,0.905841,7.72e-05,0.1992,0.03,
27,0,0.467963,0.000000,0.794933,7.50e-05,0.1409,0.03,
28,0,0.487208,0.000000,0.813638,7.27e-05,0.1573,0.03,
29,0,0.467984,0.000000,0.758670,7.03e-05,0.1280,0.03,
30,0,0.467073,0.000000,0.793482,6.79e-05,0.1458,0.03,
31,0,0.470656,0.000000,0.794680,6.55e-05,0.1443,0.03,
32,0,0.477396,0.000000,0.775345,6.29e-05,0.1733,0.03,
33,0,0.475443,0.000000,0.760765,6.04e-05,0.1716,0.03,
33,0,,,,,,,0.475596
34,1,0.474226,0.000000,0.803246,5.78e-05,0.2488,0.00,
35,1,0.475105,0.000000,0.873235,5.52e-05,0.1698,0.04,
36,1,0.471145,0.000000,0.859690,5.26e-05,0.1941,0.03,
37,1,0.469999,0.000000,0.859361,5.00e-05,0.2205,0.03,
38,1,0.481235,0.000000,0.837240,4.74e-05,0.1683,0.03,
39,1,0.478925,0.000000,0.828121,4.48e-05,0.1484,0.03,
40,1,0.469831,0.000000,0.819079,4.22e-05,0.2039,0.04,
41,1,0.485580,0.000000,0.765459,3.96e-05,0.1544,0.03,
42,1,0.478090,0.000000,0.744917,3.71e-05,0.1905,0.03,
43,1,0.469524,0.000000,0.755308,3.45e-05,0.1295,0.03,
44,1,0.464513,0.000000,0.790274,3.21e-05,0.1601,0.03,
45,1,0.470013,0.000000,0.761868,2.97e-05,0.1183,0.03,
46,1,0.473780,0.000000,0.783068,2.73e-05,0.1317,0.03,
47,1,0.466718,0.000000,0.747715,2.50e-05,0.1335,0.03,
48,1,0.472567,0.000000,0.774975,2.28e-05,0.1346,0.03,
49,1,0.476542,0.000000,0.752985,2.06e-05,0.1222,0.03,
50,1,0.465870,0.000000,0.784519,1.85e-05,0.1427,0.03,
50,1,,,,,,,0.472364
51,1,0.463339,0.000000,0.730078,1.65e-05,0.1772,0.00,
52,1,0.482444,0.000000,0.765715,1.46e-05,0.1240,0.03,
53,1,0.472397,0.000000,0.779192,1.28e-05,0.1371,0.03,
54,1,0.472815,0.000000,0.758293,1.11e-05,0.1442,0.03,
55,1,0.465690,0.000000,0.753326,1.00e-05,0.1259,0.03,
56,1,0.462861,0.000000,0.744071,1.00e-05,0.1460,0.03,
57,1,0.464286,0.000000,0.730422,1.00e-05,0.1538,0.03,
58,1,0.471804,0.000000,0.748362,1.00e-05,0.1439,0.03,
59,1,0.453635,0.000000,0.785883,1.00e-05,0.1874,0.03,
60,1,0.460138,0.000000,0.794294,1.00e-05,0.2057,0.03,
61,1,0.464477,0.000000,0.815153,1.00e-05,0.1960,0.03,
62,1,0.472179,0.000000,0.756774,1.00e-05,0.1437,0.03,
63,1,0.474328,0.000000,0.766716,1.00e-05,0.1490,0.03,
64,1,0.457544,0.000000,0.729006,1.00e-05,0.1202,0.03,
65,1,0.469077,0.000000,0.764445,1.00e-05,0.1414,0.03,
66,1,0.463299,0.000000,0.740141,1.00e-05,0.1577,0.03,
67,1,0.471361,0.000000,0.762455,1.00e-05,0.2202,0.03,
67,1,,,,,,,0.468343
