step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.498887,0.361368,0.275038,0.000000,0.000000,0.000000,0.000000,0.000000,1.79e-06,2.1976
1,stage0_head_only,0.500699,0.363943,0.273512,0.000000,0.000000,0.000000,0.000000,0.000000,2.68e-06,2.1074
2,stage0_head_only,0.500693,0.363065,0.275256,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-06,2.2175
3,stage0_head_only,0.493357,0.356963,0.272789,0.000000,0.000000,0.000000,0.000000,0.000000,4.46e-06,2.9521
4,stage0_head_only,0.502293,0.363989,0.276608,0.000000,0.000000,0.000000,0.000000,0.000000,5.36e-06,2.1728
5,stage0_head_only,0.507414,0.368690,0.277449,0.000000,0.000000,0.000000,0.000000,0.000000,6.25e-06,2.4606
6,stage0_head_only,0.502841,0.364748,0.276186,0.000000,0.000000,0.000000,0.000000,0.000000,7.14e-06,2.9628
7,stage0_head_only,0.499573,0.362582,0.273981,0.000000,0.000000,0.000000,0.000000,0.000000,8.04e-06,1.5564
8,stage0_head_only,0.501424,0.363792,0.275263,0.000000,0.000000,0.000000,0.000000,0.000000,8.93e-06,1.7998
9,stage0_head_only,0.491513,0.356630,0.269766,0.000000,0.000000,0.000000,0.000000,0.000000,9.82e-06,1.4289
10,stage0_head_only,0.496594,0.361371,0.270446,0.000000,0.000000,0.000000,0.000000,0.000000,1.07e-05,4.0359
11,stage0_head_only,0.491645,0.356611,0.270067,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,1.2950
12,stage0_head_only,0.484807,0.350665,0.268283,0.000000,0.000000,0.000000,0.000000,0.000000,1.25e-05,1.7820
13,stage0_head_only,0.497975,0.362728,0.270495,0.000000,0.000000,0.000000,0.000000,0.000000,1.34e-05,1.5923
14,stage0_head_only,0.490496,0.356532,0.267927,0.000000,0.000000,0.000000,0.000000,0.000000,1.43e-05,2.8401
15,stage0_head_only,0.492866,0.357687,0.270358,0.000000,0.000000,0.000000,0.000000,0.000000,1.52e-05,1.3118
16,stage0_head_only,0.507506,0.371254,0.272504,0.000000,0.000000,0.000000,0.000000,0.000000,1.61e-05,1.4034
