step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.483752,0.000000,0.853119,6.25e-06,2.0556,0.03,
1,0,0.491592,0.000000,0.855734,1.25e-05,3.1725,0.03,
2,0,0.482279,0.000000,0.908938,1.88e-05,0.7284,0.03,
3,0,0.481345,0.000000,0.816218,2.50e-05,0.7901,0.03,
4,0,0.487144,0.000000,0.842588,3.13e-05,0.4185,0.03,
5,0,0.490396,0.000000,0.841360,3.75e-05,1.1215,0.03,
6,0,0.486824,0.000000,0.863245,4.37e-05,0.3510,0.03,
7,0,0.476524,0.000000,0.866316,5.00e-05,0.3884,0.03,
8,0,0.471195,0.000000,0.872047,5.63e-05,0.6866,0.03,
9,0,0.474688,0.000000,0.854176,6.25e-05,0.3175,0.03,
10,0,0.476798,0.000000,0.837734,6.88e-05,0.3515,0.03,
11,0,0.488528,0.000000,0.843677,7.50e-05,0.5681,0.03,
12,0,0.483708,0.000000,0.828712,8.13e-05,0.2150,0.03,
13,0,0.482845,0.000000,0.792737,8.75e-05,0.2163,0.03,
14,0,0.483223,0.000000,0.810157,9.38e-05,0.7354,0.03,
15,0,0.481016,0.000000,0.842428,1.00e-04,0.1747,0.03,
16,0,0.482281,0.000000,0.806802,1.00e-04,0.1776,0.03,
16,0,,,,,,,0.477118
17,0,0.481220,0.000000,0.818750,9.99e-05,0.1682,0.00,
18,0,0.474817,0.000000,0.857528,9.98e-05,0.1982,0.03,
19,0,0.471195,0.000000,0.819800,9.97e-05,0.2547,0.03,
20,0,0.470602,0.000000,0.837703,9.96e-05,0.1788,0.03,
21,0,0.480471,0.000000,0.827970,9.94e-05,0.1743,0.03,
22,0,0.484679,0.000000,0.775821,9.92e-05,0.1677,0.03,
23,0,0.469136,0.000000,0.802078,9.89e-05,0.2124,0.03,
24,0,0.474248,0.000000,0.850870,9.86e-05,0.1637,0.03,
25,0,0.464294,0.000000,0.833461,9.83e-05,0.1842,0.04,
26,0,0.476840,0.000000,0.785092,9.79e-05,0.1876,0.03,
27,0,0.481188,0.000000,0.793224,9.76e-05,0.1795,0.03,
28,0,0.485540,0.000000,0.824503,9.71e-05,0.1577,0.04,
29,0,0.479630,0.000000,0.791567,9.67e-05,0.1462,0.04,
30,0,0.467960,0.000000,0.813403,9.62e-05,0.1920,0.03,
31,0,0.476419,0.000000,0.791754,9.57e-05,0.3088,0.04,
32,0,0.481082,0.000000,0.794479,9.51e-05,0.1741,0.04,
33,0,0.478764,0.000000,0.763260,9.46e-05,0.1381,0.04,
33,0,,,,,,,0.472623
34,1,0.476088,0.000000,0.792796,9.39e-05,0.2399,0.00,
35,1,0.476577,0.000000,0.816767,9.33e-05,0.1959,0.03,
36,1,0.474433,0.000000,0.875962,9.26e-05,0.2018,0.03,
37,1,0.476328,0.000000,0.851457,9.19e-05,0.1665,0.03,
38,1,0.482800,0.000000,0.846444,9.12e-05,0.1712,0.03,
39,1,0.476903,0.000000,0.844499,9.05e-05,0.2080,0.03,
40,1,0.478424,0.000000,0.794639,8.97e-05,0.1751,0.03,
41,1,0.471744,0.000000,0.795291,8.89e-05,0.1615,0.03,
42,1,0.469472,0.000000,0.786721,8.80e-05,0.2148,0.03,
43,1,0.492527,0.000000,0.828847,8.72e-05,0.2491,0.03,
44,1,0.469686,0.000000,0.825324,8.63e-05,0.3068,0.03,
45,1,0.481008,0.000000,0.759576,8.54e-05,0.1840,0.03,
46,1,0.483181,0.000000,0.786471,8.44e-05,0.1344,0.03,
47,1,0.472478,0.000000,0.778674,8.35e-05,0.1556,0.03,
48,1,0.477211,0.000000,0.750563,8.25e-05,0.1553,0.03,
49,1,0.477113,0.000000,0.743697,8.15e-05,0.1242,0.03,
50,1,0.471296,0.000000,0.770990,8.04e-05,0.1647,0.03,
50,1,,,,,,,0.475371
51,1,0.462699,0.000000,0.801814,7.94e-05,0.1847,0.00,
52,1,0.478944,0.000000,0.815385,7.83e-05,0.2020,0.03,
53,1,0.472035,0.000000,0.809439,7.72e-05,0.2094,0.03,
54,1,0.483017,0.000000,0.766618,7.61e-05,0.1585,0.03,
55,1,0.471837,0.000000,0.778382,7.50e-05,0.1720,0.03,
56,1,0.463281,0.000000,0.763037,7.39e-05,0.2458,0.03,
57,1,0.469116,0.000000,0.748065,7.27e-05,0.1372,0.03,
58,1,0.472248,0.000000,0.768551,7.15e-05,0.1474,0.03,
59,1,0.454449,0.000000,0.733029,7.03e-05,0.1635,0.03,
60,1,0.462063,0.000000,0.746394,6.91e-05,0.1359,0.03,
61,1,0.464232,0.000000,0.799374,6.79e-05,0.1466,0.03,
62,1,0.474876,0.000000,0.731313,6.67e-05,0.1406,0.03,
63,1,0.476622,0.000000,0.758645,6.55e-05,0.1280,0.03,
64,1,0.458176,0.000000,0.714989,6.42e-05,0.1559,0.03,
65,1,0.469882,0.000000,0.760442,6.29e-05,0.1219,0.03,
66,1,0.464565,0.000000,0.750370,6.17e-05,0.1443,0.03,
