step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.495880,0.359195,0.273368,0.000000,0.000000,0.000000,0.000000,0.000000,1.79e-06,1.8667
1,stage0_head_only,0.500234,0.363357,0.273754,0.000000,0.000000,0.000000,0.000000,0.000000,2.68e-06,1.3677
2,stage0_head_only,0.503066,0.365287,0.275558,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-06,1.5848
3,stage0_head_only,0.492696,0.356491,0.272411,0.000000,0.000000,0.000000,0.000000,0.000000,4.46e-06,3.3955
4,stage0_head_only,0.501081,0.362946,0.276270,0.000000,0.000000,0.000000,0.000000,0.000000,5.36e-06,4.1034
5,stage0_head_only,0.507627,0.369207,0.276840,0.000000,0.000000,0.000000,0.000000,0.000000,6.25e-06,1.6968
6,stage0_head_only,0.504807,0.365215,0.279183,0.000000,0.000000,0.000000,0.000000,0.000000,7.14e-06,1.6125
7,stage0_head_only,0.500189,0.362406,0.275566,0.000000,0.000000,0.000000,0.000000,0.000000,8.04e-06,1.4988
8,stage0_head_only,0.500558,0.363159,0.274798,0.000000,0.000000,0.000000,0.000000,0.000000,8.93e-06,2.0826
9,stage0_head_only,0.492881,0.356981,0.271799,0.000000,0.000000,0.000000,0.000000,0.000000,9.82e-06,1.3731
10,stage0_head_only,0.496484,0.360480,0.272010,0.000000,0.000000,0.000000,0.000000,0.000000,1.07e-05,3.4919
11,stage0_head_only,0.494474,0.358969,0.271011,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,1.5543
12,stage0_head_only,0.486142,0.351878,0.268528,0.000000,0.000000,0.000000,0.000000,0.000000,1.25e-05,1.7687
13,stage0_head_only,0.498717,0.363144,0.271146,0.000000,0.000000,0.000000,0.000000,0.000000,1.34e-05,2.3183
14,stage0_head_only,0.491970,0.357210,0.269520,0.000000,0.000000,0.000000,0.000000,0.000000,1.43e-05,2.6797
