step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.491555,0.000000,0.881605,1.75e-06,2.3552,0.03,
1,0,0.489587,0.000000,0.907439,3.51e-06,2.8614,0.04,
2,0,0.480386,0.000000,0.945360,5.26e-06,2.5589,0.04,
3,0,0.484148,0.000000,0.858233,7.02e-06,1.5058,0.04,
4,0,0.484903,0.000000,0.853489,8.77e-06,1.4062,0.04,
5,0,0.488104,0.000000,0.889083,1.05e-05,2.3159,0.04,
6,0,0.485504,0.000000,0.837861,1.23e-05,0.9629,0.04,
7,0,0.478335,0.000000,0.881303,1.40e-05,0.7920,0.04,
8,0,0.492783,0.000000,0.846239,1.58e-05,0.4427,0.04,
9,0,0.483553,0.000000,0.789468,1.75e-05,0.3475,0.04,
10,0,0.486445,0.000000,0.754063,1.93e-05,0.3382,0.04,
11,0,0.490162,0.000000,0.797873,2.11e-05,0.3049,0.04,
12,0,0.486106,0.000000,0.779925,2.28e-05,0.3504,0.04,
13,0,0.482999,0.000000,0.784691,2.46e-05,0.2844,0.04,
14,0,0.477783,0.000000,0.776424,2.63e-05,0.6315,0.04,
15,0,0.486723,0.000000,0.786922,2.81e-05,0.2640,0.04,
16,0,0.483968,0.000000,0.808717,2.98e-05,0.4456,0.04,
17,0,0.483320,0.000000,0.819030,3.16e-05,0.5366,0.04,
18,0,0.472691,0.000000,0.773901,3.33e-05,0.2033,0.04,
19,0,0.486937,0.000000,0.832284,3.51e-05,0.4531,0.04,
20,0,0.480956,0.000000,0.791460,3.68e-05,0.1707,0.04,
21,0,0.484391,0.000000,0.774711,3.86e-05,0.2308,0.04,
22,0,0.475476,0.000000,0.729555,4.04e-05,0.1919,0.04,
23,0,0.486110,0.000000,0.906281,4.21e-05,0.1890,0.04,
24,0,0.477938,0.000000,0.737503,4.39e-05,0.1950,0.04,
25,0,0.484945,0.000000,0.769895,4.56e-05,0.1915,0.04,
26,0,0.485542,0.000000,0.771355,4.74e-05,0.2248,0.04,
27,0,0.473247,0.000000,0.754766,4.91e-05,0.1968,0.04,
28,0,0.484322,0.000000,0.776085,5.09e-05,0.1711,0.04,
29,0,0.474494,0.000000,0.758835,5.26e-05,0.1831,0.03,
30,0,0.472375,0.000000,0.738053,5.44e-05,0.2288,0.04,
31,0,0.477421,0.000000,0.748201,5.61e-05,0.1869,0.04,
32,0,0.474972,0.000000,0.769929,5.79e-05,0.2433,0.04,
33,0,0.470489,0.000000,0.772570,5.96e-05,0.2035,0.04,
34,0,0.475036,0.000000,0.774848,6.14e-05,0.1811,0.04,
35,0,0.469212,0.000000,0.766323,6.32e-05,0.2321,0.04,
36,0,0.472194,0.000000,0.765268,6.49e-05,0.2445,0.04,
37,0,0.471644,0.000000,0.750361,6.67e-05,0.1854,0.04,
38,0,0.476907,0.000000,0.810394,6.84e-05,0.2470,0.04,
39,0,0.475405,0.000000,0.814982,7.02e-05,0.2507,0.04,
40,0,0.465689,0.000000,0.816074,7.19e-05,0.2125,0.04,
41,0,0.482204,0.000000,0.787582,7.37e-05,0.4212,0.04,
42,0,0.468128,0.000000,0.748922,7.54e-05,0.2737,0.04,
43,0,0.485105,0.000000,0.833957,7.72e-05,0.3150,0.04,
44,0,0.482817,0.000000,0.786711,7.89e-05,0.4586,0.04,
45,0,0.481918,0.000000,0.797405,8.07e-05,0.2453,0.04,
46,0,0.470084,0.000000,0.733148,8.25e-05,0.1769,0.04,
47,0,0.466422,0.000000,0.683651,8.42e-05,0.1714,0.04,
48,0,0.473012,0.000000,0.733436,8.60e-05,0.1644,0.04,
