step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.499031,0.360968,0.276126,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,1.0954
1,stage0_head_only,0.507169,0.368277,0.277785,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,1.1126
2,stage0_head_only,0.503245,0.364340,0.277810,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,1.0274
3,stage0_head_only,0.500576,0.362714,0.275725,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,1.0370
4,stage0_head_only,0.501466,0.363962,0.275008,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.9152
5,stage0_head_only,0.504933,0.365428,0.279011,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,1.0479
6,stage0_head_only,0.505889,0.365265,0.281249,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.9750
7,stage0_head_only,0.503988,0.365528,0.276920,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.7563
8,stage0_head_only,0.506403,0.367532,0.277741,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.8981
9,stage0_head_only,0.496717,0.360656,0.272122,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.8370
10,stage0_head_only,0.495211,0.359923,0.270576,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.7664
11,stage0_head_only,0.496780,0.359423,0.274713,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.8747
12,stage0_head_only,0.499179,0.361943,0.274471,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.8035
13,stage0_head_only,0.500009,0.360544,0.278929,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.6654
14,stage0_head_only,0.492003,0.357222,0.269563,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.6201
15,stage0_head_only,0.492704,0.357986,0.269436,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.6597
16,stage0_head_only,0.494156,0.358278,0.271755,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.7309
17,stage0_head_only,0.489500,0.355126,0.268748,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.7824
18,stage0_head_only,0.482468,0.348187,0.268563,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.7408
