step,epoch,loss_jepa,loss_drift,loss_total,loss_multi_task,loss_motion_aux,lr,grad_norm,throughput,val_loss,stage
20,0,,0,2.068348,,2.068348,2.083333e-04,,,,stage0_head_only_DI
40,0,,0,2.298693,,2.298693,4.166667e-04,,,,stage0_head_only_DI
60,0,,0,2.351298,,2.351298,4.990660e-04,,,,stage0_head_only_DI
80,0,,0,2.653079,,2.653079,4.933838e-04,,,,stage0_head_only_DI
100,0,,0,2.130227,,2.130227,4.826557e-04,,,,stage0_head_only_DI
120,0,,0,1.905237,,1.905237,4.671043e-04,,,,stage0_head_only_DI
121,0,,,,,,,,,1.872981,stage0_head_only_DI
140,0,,0,2.020410,,2.020410,4.470520e-04,,,,stage0_head_only_DI
160,0,,0,1.907781,,1.907781,4.229144e-04,,,,stage0_head_only_DI
180,0,,0,2.181916,,2.181916,3.951920e-04,,,,stage0_head_only_DI
200,0,,0,2.442326,,2.442326,3.644596e-04,,,,stage0_head_only_DI
220,0,,0,2.494408,,2.494408,3.313542e-04,,,,stage0_head_only_DI
240,0,,0,1.815694,,1.815694,2.965622e-04,,,,stage0_head_only_DI
242,0,,,,,,,,,1.861117,stage0_head_only_DI
260,1,,0,2.410392,,2.410392,2.608049e-04,,,,stage0_head_only_DI
280,1,,0,1.719962,,1.719962,2.248235e-04,,,,stage0_head_only_DI
300,1,,0,2.392179,,2.392179,1.893642e-04,,,,stage0_head_only_DI
320,1,,0,1.948707,,1.948707,1.551619e-04,,,,stage0_head_only_DI
340,1,,0,2.071965,,2.071965,1.229258e-04,,,,stage0_head_only_DI
360,1,,0,1.770232,,1.770232,9.332409e-05,,,,stage0_head_only_DI
363,1,,,,,,,,,1.812342,stage0_head_only_DI
380,1,,0,1.804071,,1.804071,6.697058e-05,,,,stage0_head_only_DI
400,1,,0,1.581719,,1.581719,5.000000e-05,,,,stage0_head_only_DI
420,1,,0,1.908829,,1.908829,5.000000e-05,,,,stage0_head_only_DI
440,1,,0,1.948671,,1.948671,5.000000e-05,,,,stage0_head_only_DI
460,1,,0,2.156506,,2.156506,5.000000e-05,,,,stage0_head_only_DI
480,1,,0,1.901645,,1.901645,5.000000e-05,,,,stage0_head_only_DI
484,1,,,,,,,,,1.793065,stage0_head_only_DI
