step,epoch,loss_jepa,loss_drift,loss_total,loss_multi_task,loss_motion_aux,lr,grad_norm,throughput,val_loss,stage
20,0,,0,2.372840,,2.372840,2.083333e-04,,,,stage0_head_only_noDI
40,0,,0,1.854125,,1.854125,4.166667e-04,,,,stage0_head_only_noDI
60,0,,0,1.775820,,1.775820,4.990660e-04,,,,stage0_head_only_noDI
80,0,,0,2.134901,,2.134901,4.933838e-04,,,,stage0_head_only_noDI
100,0,,0,1.703620,,1.703620,4.826557e-04,,,,stage0_head_only_noDI
120,0,,0,1.467574,,1.467574,4.671043e-04,,,,stage0_head_only_noDI
121,0,,,,,,,,,1.907437,stage0_head_only_noDI
140,0,,0,1.688385,,1.688385,4.470520e-04,,,,stage0_head_only_noDI
160,0,,0,2.030849,,2.030849,4.229144e-04,,,,stage0_head_only_noDI
180,0,,0,1.517644,,1.517644,3.951920e-04,,,,stage0_head_only_noDI
200,0,,0,1.545453,,1.545453,3.644596e-04,,,,stage0_head_only_noDI
220,0,,0,1.578830,,1.578830,3.313542e-04,,,,stage0_head_only_noDI
240,0,,0,1.824374,,1.824374,2.965622e-04,,,,stage0_head_only_noDI
242,0,,,,,,,,,2.058337,stage0_head_only_noDI
260,1,,0,1.540053,,1.540053,2.608049e-04,,,,stage0_head_only_noDI
280,1,,0,1.740725,,1.740725,2.248235e-04,,,,stage0_head_only_noDI
300,1,,0,1.671743,,1.671743,1.893642e-04,,,,stage0_head_only_noDI
320,1,,0,2.256427,,2.256427,1.551619e-04,,,,stage0_head_only_noDI
340,1,,0,1.363853,,1.363853,1.229258e-04,,,,stage0_head_only_noDI
360,1,,0,1.450470,,1.450470,9.332409e-05,,,,stage0_head_only_noDI
363,1,,,,,,,,,1.848235,stage0_head_only_noDI
380,1,,0,1.548844,,1.548844,6.697058e-05,,,,stage0_head_only_noDI
400,1,,0,1.604993,,1.604993,5.000000e-05,,,,stage0_head_only_noDI
420,1,,0,1.269235,,1.269235,5.000000e-05,,,,stage0_head_only_noDI
440,1,,0,1.401975,,1.401975,5.000000e-05,,,,stage0_head_only_noDI
460,1,,0,1.495857,,1.495857,5.000000e-05,,,,stage0_head_only_noDI
480,1,,0,1.310354,,1.310354,5.000000e-05,,,,stage0_head_only_noDI
484,1,,,,,,,,,1.980948,stage0_head_only_noDI
