arm,ckpt,step,probe_top1,motion_cos,future_l1,causal_l1,maskratio,val_jepa_loss,verdict,kept
pretrain_encoder,1,119,0.277162,0.072903,0.53964,0.561173,0.060004,0.467325,🎯,False
pretrain_encoder,2,239,0.268293,0.140128,0.53808,0.56025,0.062838,0.463321,🎯,True
pretrain_encoder,3,359,0.308204,0.14685,0.53881,0.561288,0.068863,0.459837,✋,False
pretrain_encoder,4,479,0.337029,0.156667,0.541811,0.564332,0.070213,0.45897,✋,False
surgery_3stage_DI_encoder,1,43,0.254989,0.142171,0.52345,0.549887,0.061302,0.4726592634707491,🎯,False
surgery_3stage_DI_encoder,2,109,0.277162,0.146854,0.504865,0.532275,0.057208,0.45440423224294796,🎯,False
surgery_3stage_DI_encoder,3,218,0.283814,0.146289,0.501685,0.529198,0.058552,0.4487093670537361,🎯,False
surgery_3stage_DI_encoder,4,327,0.277162,0.140238,0.499519,0.529771,0.054736,0.4465160387714792,🎯,True
surgery_3stage_DI_encoder,5,349,0.277162,0.14396,0.501212,0.530325,0.055452,0.444057845091344,✋,False
surgery_3stage_DI_encoder,6,436,0.27051,0.141947,0.500033,0.531602,0.058143,0.4446360784068605,✋,False
surgery_3stage_DI_encoder,7,480,0.263858,0.143898,0.502614,0.531122,0.056975,0.44268096881007934,✋,False
surgery_noDI_encoder,1,43,0.2616,0.1422,0.5236,0.5496,0.0614,0.4722,🎯,False
surgery_noDI_encoder,2,109,0.2705,0.1449,0.5037,0.5312,0.0568,0.4551,🎯,False
surgery_noDI_encoder,3,218,0.2882,0.1471,0.5015,0.529,0.0557,0.4487,🎯,False
surgery_noDI_encoder,4,262,0.2927,0.1501,0.5013,0.5296,0.0557,0.4466,🎯,True
surgery_noDI_encoder,5,372,0.268293,0.135797,0.502891,0.532072,0.055436,0.4464527920978825,✋,False
surgery_noDI_encoder,6,481,0.261641,0.143188,0.504202,0.531036,0.056707,0.4436472705885471,✋,False
surgery_3stage_DI_head,1,121,0.272727,0.142564,0.536894,0.560254,0.062843,0.21301736778800612,·,False
surgery_3stage_DI_head,2,242,0.27051,0.145091,0.536894,0.560254,0.062843,0.19700922561590528,·,False
surgery_3stage_DI_head,3,363,0.268293,0.148341,0.536894,0.560254,0.062843,0.2072529333393748,·,False
surgery_3stage_DI_head,4,484,0.274945,0.150146,0.536894,0.560254,0.062843,0.19679852700286327,·,False
surgery_noDI_head,1,121,0.257206,0.147595,0.536912,0.560254,0.062843,0.2214431911508683,·,False
surgery_noDI_head,2,242,0.266075,0.153717,0.536912,0.560254,0.062843,0.21326458438272755,·,False
surgery_noDI_head,3,363,0.268293,0.157308,0.536912,0.560254,0.062843,0.20961623421793765,·,False
surgery_noDI_head,4,484,0.27051,0.157309,0.536912,0.560254,0.062843,0.21595796370453424,·,False
surgical_autorgn_encoder,1,109,0.299335,0.205827,0.523572,0.546207,0.06202,0.45492287512100454,🎯,True
surgical_autorgn_encoder,2,218,0.323725,0.195503,0.524519,0.547089,0.062655,0.44802100298938624,✋,False
