step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.495104,0.357343,0.275521,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,1.0257
1,stage0_head_only,0.498280,0.361940,0.272681,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.9245
2,stage0_head_only,0.506250,0.366532,0.279437,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,1.0455
3,stage0_head_only,0.490161,0.355330,0.269663,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.8686
4,stage0_head_only,0.493738,0.357894,0.271688,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.8089
5,stage0_head_only,0.501966,0.364577,0.274779,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.8293
6,stage0_head_only,0.496838,0.361213,0.271249,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.7922
7,stage0_head_only,0.500426,0.362815,0.275222,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,1.0814
8,stage0_head_only,0.497479,0.361212,0.272535,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.7150
9,stage0_head_only,0.494742,0.359121,0.271242,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.6285
10,stage0_head_only,0.491003,0.356857,0.268292,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.7038
11,stage0_head_only,0.491275,0.357797,0.266956,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.6428
12,stage0_head_only,0.490821,0.357793,0.266057,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.5064
13,stage0_head_only,0.497073,0.362134,0.269878,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.9086
14,stage0_head_only,0.487547,0.355623,0.263848,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.7872
15,stage0_head_only,0.482696,0.350982,0.263427,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.6633
16,stage0_head_only,0.487841,0.355927,0.263827,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.7373
17,stage0_head_only,0.491449,0.357251,0.268395,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.8734
18,stage0_head_only,0.481001,0.349087,0.263827,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.6228
19,stage0_head_only,0.478991,0.349094,0.259794,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.5649
20,stage0_head_only,0.482246,0.351300,0.261890,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.9819
21,stage0_head_only,0.488223,0.355752,0.264942,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.6776
22,stage0_head_only,0.477416,0.347270,0.260292,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.7380
23,stage0_head_only,0.484811,0.352978,0.263667,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.5214
24,stage0_head_only,0.480954,0.350016,0.261877,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.6134
25,stage0_head_only,0.478503,0.349221,0.258564,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.6060
26,stage0_head_only,0.485460,0.353317,0.264286,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,0.6272
27,stage0_head_only,0.474450,0.346119,0.256663,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.6793
28,stage0_head_only,0.481251,0.351097,0.260307,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.6377
29,stage0_head_only,0.479216,0.350333,0.257766,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.6325
30,stage0_head_only,0.468678,0.340856,0.255643,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.6003
31,stage0_head_only,0.473590,0.345218,0.256745,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.6567
32,stage0_head_only,0.476743,0.347580,0.258327,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.6588
33,stage0_head_only,0.469274,0.343137,0.252274,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.7857
34,stage0_head_only,0.476460,0.347355,0.258211,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.4492
35,stage0_head_only,0.475121,0.347010,0.256224,0.000000,0.000000,0.000000,0.000000,0.000000,4.30e-05,0.5152
36,stage0_head_only,0.482532,0.352290,0.260484,0.000000,0.000000,0.000000,0.000000,0.000000,4.42e-05,0.4815
37,stage0_head_only,0.473369,0.347364,0.252009,0.000000,0.000000,0.000000,0.000000,0.000000,4.53e-05,0.5066
38,stage0_head_only,0.466645,0.341130,0.251031,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-05,0.5586
39,stage0_head_only,0.471833,0.343654,0.256358,0.000000,0.000000,0.000000,0.000000,0.000000,4.77e-05,0.4735
40,stage0_head_only,0.469525,0.343746,0.251560,0.000000,0.000000,0.000000,0.000000,0.000000,4.88e-05,0.4910
41,stage0_head_only,0.473394,0.347053,0.252681,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6235
42,stage0_head_only,0.462354,0.337779,0.249150,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5843
43,stage1_layout,0.459859,0.336446,0.246826,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7391
44,stage1_layout,0.477010,0.348164,0.257694,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6467
45,stage1_layout,0.467699,0.342513,0.250373,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.8108
46,stage1_layout,0.467342,0.341538,0.251608,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4283
47,stage1_layout,0.463358,0.339401,0.247914,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5333
48,stage1_layout,0.470130,0.343678,0.252905,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5956
49,stage1_layout,0.467285,0.342394,0.249783,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5590
50,stage1_layout,0.470203,0.345330,0.249745,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4478
51,stage1_layout,0.462920,0.339274,0.247292,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5763
52,stage1_layout,0.472967,0.346355,0.253224,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4268
53,stage1_layout,0.466091,0.342409,0.247365,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6271
54,stage1_layout,0.469595,0.344382,0.250426,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5421
55,stage1_layout,0.470929,0.346836,0.248186,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6294
56,stage1_layout,0.468388,0.343408,0.249960,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4693
57,stage1_layout,0.461346,0.338739,0.245213,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6537
58,stage1_layout,0.464036,0.341055,0.245962,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6257
59,stage1_layout,0.459924,0.337204,0.245441,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5026
60,stage1_layout,0.465822,0.341939,0.247766,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4105
61,stage1_layout,0.470210,0.344123,0.252173,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5219
62,stage1_layout,0.450019,0.329793,0.240452,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4856
63,stage1_layout,0.456888,0.335986,0.241804,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4222
64,stage1_layout,0.452027,0.330379,0.243296,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4098
65,stage1_layout,0.465024,0.341554,0.246939,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5759
66,stage1_layout,0.454080,0.332785,0.242589,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5943
67,stage1_layout,0.461053,0.339369,0.243369,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4677
68,stage1_layout,0.454650,0.333464,0.242373,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6230
69,stage1_layout,0.464423,0.342312,0.244223,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5421
70,stage1_layout,0.466888,0.343403,0.246970,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3719
71,stage1_layout,0.457232,0.336742,0.240980,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4225
72,stage1_layout,0.451973,0.332800,0.238346,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5465
73,stage1_layout,0.461186,0.338866,0.244639,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5573
74,stage1_layout,0.456866,0.336909,0.239915,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4231
75,stage1_layout,0.448092,0.329691,0.236801,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4369
76,stage1_layout,0.455940,0.334716,0.242449,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4627
77,stage1_layout,0.463019,0.340792,0.244454,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4857
78,stage1_layout,0.449341,0.330284,0.238113,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6099
79,stage1_layout,0.450847,0.332187,0.237320,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6021
80,stage1_layout,0.456108,0.334970,0.242278,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5409
81,stage1_layout,0.450820,0.330812,0.240016,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3991
82,stage1_layout,0.459725,0.337304,0.244841,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4988
83,stage1_layout,0.459522,0.338864,0.241316,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5758
84,stage1_layout,0.447820,0.329768,0.236104,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3777
85,stage1_layout,0.452858,0.333434,0.238848,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5329
86,stage1_layout,0.448681,0.330039,0.237285,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4725
87,stage1_layout,0.460388,0.338273,0.244231,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4960
88,stage1_layout,0.452571,0.333470,0.238202,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4667
89,stage1_layout,0.457526,0.336316,0.242422,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5717
90,stage1_layout,0.450433,0.331976,0.236915,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4597
91,stage1_layout,0.450214,0.332364,0.235698,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4166
92,stage1_layout,0.449142,0.330562,0.237161,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3806
93,stage1_layout,0.462903,0.342474,0.240859,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4111
94,stage1_layout,0.454648,0.333578,0.242141,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5221
95,stage1_layout,0.453275,0.332960,0.240630,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4165
