step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,ewc_single,0.492402,0.356059,0.272687,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,1.0985
1,ewc_single,0.500250,0.364490,0.271520,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.9422
2,ewc_single,0.498646,0.362172,0.272948,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.9277
3,ewc_single,0.495341,0.358659,0.273365,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,1.1216
4,ewc_single,0.498679,0.362355,0.272649,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.8682
5,ewc_single,0.500509,0.364253,0.272511,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.8244
6,ewc_single,0.498096,0.362640,0.270911,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.8418
7,ewc_single,0.493306,0.358663,0.269287,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.6961
8,ewc_single,0.493559,0.359542,0.268034,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.5944
9,ewc_single,0.487571,0.357063,0.261015,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.8797
10,ewc_single,0.482333,0.352302,0.260062,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.5914
11,ewc_single,0.484884,0.354421,0.260925,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.6826
12,ewc_single,0.489030,0.357602,0.262855,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.7976
13,ewc_single,0.489957,0.358314,0.263284,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.6297
14,ewc_single,0.487225,0.356102,0.262246,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.6696
15,ewc_single,0.481586,0.352386,0.258399,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.6506
16,ewc_single,0.482222,0.353499,0.257445,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.6317
