step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.492410,0.356067,0.272687,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-07,1.0900
1,stage0_head_only,0.500554,0.364670,0.271767,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-07,0.9384
2,stage0_head_only,0.499537,0.362711,0.273652,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-07,0.9462
3,stage0_head_only,0.497004,0.359663,0.274684,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-06,1.1700
4,stage0_head_only,0.501445,0.364037,0.274816,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-06,0.9569
5,stage0_head_only,0.504160,0.366518,0.275284,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-06,0.9478
6,stage0_head_only,0.503146,0.365778,0.274736,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-06,0.9787
7,stage0_head_only,0.500088,0.362754,0.274668,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-06,0.8491
8,stage0_head_only,0.501105,0.364080,0.274049,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,0.8525
9,stage0_head_only,0.497209,0.362857,0.268704,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-06,0.9982
10,stage0_head_only,0.492628,0.358201,0.268854,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-06,0.9379
11,stage0_head_only,0.495631,0.360851,0.269560,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-06,0.6924
12,stage0_head_only,0.498712,0.363071,0.271282,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-06,0.7616
13,stage0_head_only,0.500690,0.364202,0.272975,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,1.0299
14,stage0_head_only,0.498108,0.362105,0.272006,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-06,0.9009
15,stage0_head_only,0.495303,0.360251,0.270104,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-06,0.8285
16,stage0_head_only,0.494981,0.360659,0.268645,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-06,0.8681
17,stage0_head_only,0.499998,0.363915,0.272166,0.000000,0.000000,0.000000,0.000000,0.000000,4.42e-06,0.7389
18,stage0_head_only,0.491009,0.355532,0.270954,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.8747
19,stage0_head_only,0.495875,0.359775,0.272198,0.000000,0.000000,0.000000,0.000000,0.000000,4.88e-06,0.6809
20,stage0_head_only,0.496358,0.360979,0.270759,0.000000,0.000000,0.000000,0.000000,0.000000,5.12e-06,0.8230
21,stage0_head_only,0.502487,0.366075,0.272825,0.000000,0.000000,0.000000,0.000000,0.000000,5.35e-06,0.7604
22,stage0_head_only,0.484681,0.352073,0.265217,0.000000,0.000000,0.000000,0.000000,0.000000,5.58e-06,0.8215
23,stage0_head_only,0.488877,0.355980,0.265796,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.6393
24,stage0_head_only,0.494337,0.357475,0.273724,0.000000,0.000000,0.000000,0.000000,0.000000,6.05e-06,0.6453
25,stage0_head_only,0.487671,0.353527,0.268288,0.000000,0.000000,0.000000,0.000000,0.000000,6.28e-06,0.9016
26,stage0_head_only,0.492917,0.357473,0.270888,0.000000,0.000000,0.000000,0.000000,0.000000,6.51e-06,0.8167
