step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.457316,0.000000,0.838861,1.75e-06,26.1560,0.04,
1,0,0.462968,0.000000,0.845406,3.51e-06,24.6765,0.04,
2,0,0.455823,0.000000,0.852073,5.26e-06,22.0624,0.04,
3,0,0.452078,0.000000,0.929741,7.02e-06,20.7718,0.04,
4,0,0.442022,0.000000,0.884019,8.77e-06,12.4947,0.03,
5,0,0.468238,0.000000,0.789433,1.05e-05,3.1565,0.03,
6,0,0.463955,0.000000,0.759606,1.23e-05,5.8093,0.03,
7,0,0.451927,0.000000,0.771371,1.40e-05,3.6935,0.03,
8,0,0.448464,0.000000,0.812777,1.58e-05,3.0746,0.03,
9,0,0.443831,0.000000,0.860826,1.75e-05,3.1655,0.03,
10,0,0.444186,0.000000,0.793539,1.93e-05,1.7129,0.03,
11,0,0.444769,0.000000,0.797575,2.11e-05,1.6488,0.03,
12,0,0.438541,0.000000,0.795533,2.28e-05,1.2531,0.03,
13,0,0.440062,0.000000,0.765271,2.46e-05,0.9661,0.03,
14,0,0.440966,0.000000,0.745784,2.63e-05,0.5869,0.03,
15,0,0.434424,0.000000,0.759453,2.81e-05,0.7617,0.03,
16,0,0.430751,0.000000,0.778100,2.98e-05,1.1652,0.03,
17,0,0.444442,0.000000,0.777278,3.16e-05,2.3600,0.03,
18,0,0.436433,0.000000,0.714061,3.33e-05,0.9735,0.03,
19,0,0.443581,0.000000,0.703599,3.51e-05,0.4806,0.03,
20,0,0.439636,0.000000,0.758170,3.68e-05,0.3637,0.03,
21,0,0.444087,0.000000,0.739203,3.86e-05,0.4863,0.03,
22,0,0.420034,0.000000,0.770999,4.04e-05,0.4198,0.03,
23,0,0.430762,0.000000,0.708941,4.21e-05,0.5466,0.03,
24,0,0.428887,0.000000,0.747295,4.39e-05,0.3119,0.03,
25,0,0.426131,0.000000,0.755600,4.56e-05,0.5252,0.03,
26,0,0.431160,0.000000,0.702989,4.74e-05,0.5606,0.03,
27,0,0.429270,0.000000,0.711556,4.91e-05,0.5768,0.03,
28,0,0.434390,0.000000,0.725674,5.09e-05,0.3086,0.03,
29,0,0.442787,0.000000,0.744788,5.26e-05,0.6235,0.03,
30,0,0.440119,0.000000,0.729247,5.44e-05,0.3659,0.03,
31,0,0.440498,0.000000,0.805172,5.61e-05,0.3687,0.03,
32,0,0.436830,0.000000,0.761512,5.79e-05,0.3794,0.03,
33,0,0.440402,0.000000,0.721684,5.96e-05,0.3377,0.03,
34,0,0.439581,0.000000,0.746555,6.14e-05,0.3519,0.03,
35,0,0.444957,0.000000,0.696643,6.32e-05,0.6603,0.03,
36,0,0.448676,0.000000,0.715325,6.49e-05,0.2281,0.03,
37,0,0.439223,0.000000,0.719991,6.67e-05,0.2890,0.03,
38,0,0.430058,0.000000,0.717524,6.84e-05,0.2609,0.03,
39,0,0.436159,0.000000,0.691752,7.02e-05,0.3329,0.03,
40,0,0.439654,0.000000,0.705065,7.19e-05,0.3566,0.03,
41,0,0.436517,0.000000,0.748843,7.37e-05,0.6936,0.03,
42,0,0.427218,0.000000,0.744910,7.54e-05,0.5847,0.03,
43,0,0.430709,0.000000,0.832080,7.72e-05,0.2757,0.03,
44,0,0.433837,0.000000,0.747546,7.89e-05,0.3165,0.03,
45,0,0.438548,0.000000,0.725210,8.07e-05,0.4611,0.03,
46,0,0.436885,0.000000,0.778677,8.25e-05,0.2951,0.03,
47,0,0.431521,0.000000,0.723429,8.42e-05,0.2871,0.03,
48,0,0.436522,0.000000,0.774721,8.60e-05,0.3112,0.03,
49,0,0.429538,0.000000,0.732548,8.77e-05,0.3408,0.03,
50,0,0.433298,0.000000,0.735752,8.95e-05,0.3464,0.03,
51,0,0.441919,0.000000,0.799831,9.12e-05,0.2455,0.03,
52,0,0.435861,0.000000,0.787939,9.30e-05,1.6865,0.03,
53,0,0.436820,0.000000,0.697785,9.47e-05,0.2306,0.03,
54,0,0.442480,0.000000,0.755039,9.65e-05,0.2007,0.03,
55,0,0.431144,0.000000,0.699122,9.82e-05,0.2822,0.03,
56,0,0.432046,0.000000,0.761930,1.00e-04,0.3232,0.03,
57,0,0.426603,0.000000,0.741443,1.00e-04,0.3788,0.03,
58,0,0.431921,0.000000,0.696791,1.00e-04,0.2146,0.03,
59,0,0.425496,0.000000,0.689904,1.00e-04,0.2427,0.03,
60,0,0.432894,0.000000,0.739492,1.00e-04,0.4488,0.03,
61,0,0.428280,0.000000,0.694875,1.00e-04,0.2792,0.03,
62,0,0.433581,0.000000,0.682447,1.00e-04,0.1878,0.03,
63,0,0.434648,0.000000,0.689902,9.99e-05,0.2570,0.03,
64,0,0.421610,0.000000,0.714060,9.99e-05,0.2558,0.03,
65,0,0.430581,0.000000,0.701904,9.99e-05,0.3315,0.03,
66,0,0.421713,0.000000,0.674062,9.99e-05,0.2127,0.03,
67,0,0.435260,0.000000,0.668444,9.98e-05,0.2167,0.03,
68,0,0.424430,0.000000,0.700585,9.98e-05,0.3780,0.03,
69,0,0.427809,0.000000,0.724573,9.98e-05,0.2208,0.03,
70,0,0.429968,0.000000,0.655496,9.97e-05,0.1893,0.03,
71,0,0.436129,0.000000,0.689889,9.97e-05,0.1885,0.03,
72,0,0.441315,0.000000,0.700868,9.97e-05,0.1815,0.03,
73,0,0.447776,0.000000,0.739963,9.96e-05,0.2221,0.03,
74,0,0.435982,0.000000,0.705165,9.96e-05,0.2485,0.03,
