step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.451161,0.332226,0.237870,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,0.7483
1,stage0_head_only,0.451290,0.332950,0.236679,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.6872
2,stage0_head_only,0.441552,0.324124,0.234855,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.9447
3,stage0_head_only,0.444136,0.327197,0.233877,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.8947
4,stage0_head_only,0.441394,0.323994,0.234800,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.7860
5,stage0_head_only,0.442548,0.324285,0.236527,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.8745
6,stage0_head_only,0.450317,0.330569,0.239497,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.7023
7,stage0_head_only,0.438246,0.321800,0.232892,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.6346
8,stage0_head_only,0.448483,0.329786,0.237395,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.6898
9,stage0_head_only,0.445859,0.328558,0.234601,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.5688
10,stage0_head_only,0.436844,0.319749,0.234190,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.6200
11,stage0_head_only,0.439436,0.323446,0.231979,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.7441
12,stage0_head_only,0.444652,0.328958,0.231388,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.7075
13,stage0_head_only,0.449949,0.332956,0.233985,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.6240
14,stage0_head_only,0.443083,0.326609,0.232949,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.5559
15,stage0_head_only,0.427523,0.314918,0.225210,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.8418
16,stage0_head_only,0.446854,0.329836,0.234036,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.5906
17,stage0_head_only,0.444492,0.328186,0.232612,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.6026
18,stage0_head_only,0.438985,0.323045,0.231880,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.6114
19,stage0_head_only,0.439627,0.324803,0.229647,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.7754
20,stage0_head_only,0.446252,0.328747,0.235009,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.6482
21,stage0_head_only,0.432741,0.319721,0.226039,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.5852
22,stage0_head_only,0.430569,0.316514,0.228110,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.7663
23,stage0_head_only,0.428573,0.314521,0.228103,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.5882
24,stage0_head_only,0.434546,0.321115,0.226862,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.8056
25,stage0_head_only,0.430021,0.316770,0.226503,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.6561
26,stage0_head_only,0.424646,0.311915,0.225462,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,0.6777
27,stage0_head_only,0.429162,0.316132,0.226061,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.5924
28,stage0_head_only,0.437699,0.322521,0.230357,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.5790
29,stage0_head_only,0.432384,0.319683,0.225403,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,1.0356
30,stage0_head_only,0.421711,0.310790,0.221843,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.6038
31,stage0_head_only,0.420898,0.310163,0.221471,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.5777
32,stage0_head_only,0.424809,0.314130,0.221358,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.7115
33,stage0_head_only,0.424619,0.314168,0.220903,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.5844
34,stage0_head_only,0.436123,0.321876,0.228493,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.6022
35,stage0_head_only,0.430999,0.318762,0.224474,0.000000,0.000000,0.000000,0.000000,0.000000,4.30e-05,0.7346
36,stage0_head_only,0.430486,0.317906,0.225161,0.000000,0.000000,0.000000,0.000000,0.000000,4.42e-05,0.6625
37,stage0_head_only,0.429078,0.318040,0.222077,0.000000,0.000000,0.000000,0.000000,0.000000,4.53e-05,0.5582
38,stage0_head_only,0.416798,0.306947,0.219701,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-05,0.7546
39,stage0_head_only,0.423085,0.312065,0.222039,0.000000,0.000000,0.000000,0.000000,0.000000,4.77e-05,0.9317
40,stage0_head_only,0.422058,0.310750,0.222616,0.000000,0.000000,0.000000,0.000000,0.000000,4.88e-05,0.6110
41,stage0_head_only,0.435372,0.322388,0.225967,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6660
42,stage0_head_only,0.416618,0.308199,0.216837,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6411
43,stage1_layout,0.427402,0.318106,0.218593,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6237
44,stage1_layout,0.424600,0.314815,0.219571,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6192
45,stage1_layout,0.426935,0.317772,0.218326,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.8262
46,stage1_layout,0.435810,0.323774,0.224073,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.8447
47,stage1_layout,0.422463,0.313810,0.217306,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6725
48,stage1_layout,0.435802,0.322711,0.226182,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7534
49,stage1_layout,0.429623,0.320229,0.218788,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.8330
50,stage1_layout,0.424554,0.316103,0.216903,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6412
51,stage1_layout,0.430815,0.321864,0.217901,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6079
52,stage1_layout,0.424767,0.316233,0.217068,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6566
53,stage1_layout,0.423051,0.314204,0.217694,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5225
54,stage1_layout,0.425630,0.317134,0.216992,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6003
55,stage1_layout,0.425476,0.315372,0.220208,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4521
56,stage1_layout,0.423574,0.314467,0.218213,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6207
57,stage1_layout,0.427164,0.318239,0.217850,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6070
58,stage1_layout,0.418887,0.311600,0.214572,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5534
59,stage1_layout,0.416741,0.309516,0.214450,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4610
60,stage1_layout,0.428056,0.319747,0.216617,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4479
61,stage1_layout,0.423298,0.315596,0.215404,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6274
62,stage1_layout,0.422654,0.314426,0.216455,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6026
63,stage1_layout,0.415451,0.310041,0.210821,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7485
64,stage1_layout,0.437064,0.325928,0.222271,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4319
65,stage1_layout,0.414515,0.308428,0.212172,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5082
66,stage1_layout,0.425072,0.317507,0.215131,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6544
67,stage1_layout,0.423543,0.316196,0.214695,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6252
68,stage1_layout,0.421638,0.315710,0.211857,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5446
69,stage1_layout,0.429930,0.321253,0.217354,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4306
70,stage1_layout,0.419351,0.312869,0.212965,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4515
71,stage1_layout,0.424613,0.316031,0.217163,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5301
72,stage1_layout,0.424359,0.315947,0.216824,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4577
73,stage1_layout,0.422241,0.313621,0.217238,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6134
74,stage1_layout,0.420255,0.313954,0.212601,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4230
75,stage1_layout,0.421687,0.315009,0.213357,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5627
76,stage1_layout,0.426618,0.318357,0.216521,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4592
77,stage1_layout,0.431625,0.321895,0.219460,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5337
78,stage1_layout,0.422268,0.315761,0.213013,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6148
79,stage1_layout,0.415132,0.310593,0.209079,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4803
80,stage1_layout,0.425290,0.317883,0.214813,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5845
81,stage1_layout,0.413700,0.307873,0.211655,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4668
82,stage1_layout,0.415978,0.311065,0.209827,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4467
83,stage1_layout,0.425325,0.316687,0.217277,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4644
84,stage1_layout,0.420637,0.313309,0.214656,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6608
85,stage1_layout,0.420920,0.315682,0.210477,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4048
86,stage1_layout,0.407306,0.302926,0.208761,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5837
87,stage1_layout,0.421950,0.315767,0.212365,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3928
88,stage1_layout,0.421504,0.316059,0.210890,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3882
89,stage1_layout,0.419500,0.313542,0.211915,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5754
90,stage1_layout,0.412582,0.308128,0.208908,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4236
91,stage1_layout,0.416125,0.311763,0.208725,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4139
92,stage1_layout,0.414748,0.310556,0.208383,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4424
93,stage1_layout,0.428607,0.319530,0.218154,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4296
94,stage1_layout,0.435838,0.326797,0.218081,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3317
95,stage1_layout,0.419881,0.314515,0.210732,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4589
96,stage1_layout,0.415788,0.310280,0.211015,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7011
97,stage1_layout,0.416953,0.313627,0.206652,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5806
98,stage1_layout,0.416348,0.312089,0.208519,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4627
99,stage1_layout,0.414607,0.309988,0.209238,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4717
100,stage1_layout,0.410376,0.307010,0.206731,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4071
101,stage1_layout,0.416197,0.311337,0.209721,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3804
102,stage1_layout,0.420516,0.314782,0.211467,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5680
103,stage1_layout,0.422833,0.315879,0.213909,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6967
104,stage1_layout,0.416487,0.312267,0.208441,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4410
105,stage1_layout,0.423655,0.316902,0.213507,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7272
106,stage1_layout,0.416699,0.310433,0.212533,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5948
107,stage1_layout,0.431180,0.321907,0.218545,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4805
108,stage1_layout,0.408807,0.306108,0.205397,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4509
109,stage1_layout,0.415107,0.310957,0.208300,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6614
110,stage1_layout,0.413213,0.309064,0.208300,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4391
111,stage1_layout,0.415800,0.310057,0.211485,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6974
112,stage1_layout,0.424871,0.315857,0.218028,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4794
113,stage1_layout,0.421645,0.314789,0.213711,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4430
114,stage1_layout,0.412873,0.309556,0.206635,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4581
115,stage1_layout,0.412212,0.308873,0.206678,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5795
116,stage1_layout,0.428136,0.321583,0.213106,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4598
117,stage1_layout,0.421160,0.313494,0.215331,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4606
118,stage1_layout,0.422287,0.316484,0.211604,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5167
119,stage1_layout,0.417432,0.311606,0.211651,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5146
120,stage1_layout,0.418381,0.312850,0.211061,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4954
121,stage1_layout,0.420947,0.314969,0.211956,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4889
122,stage1_layout,0.427855,0.320234,0.215242,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3903
123,stage1_layout,0.421762,0.315608,0.212307,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3977
124,stage1_layout,0.416092,0.311651,0.208883,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3363
125,stage1_layout,0.404976,0.303627,0.202698,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6252
126,stage1_layout,0.408805,0.305910,0.205789,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4627
127,stage1_layout,0.408223,0.305844,0.204759,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4021
128,stage1_layout,0.424610,0.317914,0.213392,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4645
129,stage1_layout,0.420303,0.315068,0.210470,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3772
130,stage1_layout,0.419710,0.313242,0.212936,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5536
