step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.449741,0.331779,0.235924,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,0.7768
1,stage0_head_only,0.447482,0.329816,0.235331,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.6968
2,stage0_head_only,0.439142,0.321463,0.235359,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.8093
3,stage0_head_only,0.443352,0.326122,0.234461,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.8301
4,stage0_head_only,0.442330,0.324803,0.235054,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.9108
5,stage0_head_only,0.446122,0.326560,0.239124,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.7573
6,stage0_head_only,0.444247,0.324857,0.238779,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.6795
7,stage0_head_only,0.435361,0.319494,0.231733,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.7500
8,stage0_head_only,0.449401,0.330466,0.237871,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.6492
9,stage0_head_only,0.443529,0.326420,0.234218,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.6707
10,stage0_head_only,0.438055,0.321499,0.233111,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.7304
11,stage0_head_only,0.437808,0.321834,0.231948,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.5976
12,stage0_head_only,0.444948,0.329404,0.231087,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.6420
13,stage0_head_only,0.447221,0.330291,0.233860,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.5691
14,stage0_head_only,0.443782,0.327428,0.232706,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.5078
15,stage0_head_only,0.427895,0.315005,0.225780,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.5502
16,stage0_head_only,0.445547,0.328664,0.233764,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.7818
17,stage0_head_only,0.444455,0.327772,0.233366,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.5902
18,stage0_head_only,0.435305,0.320496,0.229618,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.6549
19,stage0_head_only,0.443292,0.327631,0.231322,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.7732
20,stage0_head_only,0.444290,0.326508,0.235565,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.6266
21,stage0_head_only,0.430186,0.317227,0.225916,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.5992
22,stage0_head_only,0.432059,0.317914,0.228288,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.5383
23,stage0_head_only,0.427760,0.314807,0.225905,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.7132
24,stage0_head_only,0.432337,0.319076,0.226522,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.9720
25,stage0_head_only,0.431417,0.318029,0.226776,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.5904
26,stage0_head_only,0.429452,0.316065,0.226773,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,0.6171
27,stage0_head_only,0.425917,0.312407,0.227019,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.6210
28,stage0_head_only,0.439113,0.324596,0.229035,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.5576
29,stage0_head_only,0.434985,0.321696,0.226579,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.6276
30,stage0_head_only,0.421488,0.312077,0.218821,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.4839
31,stage0_head_only,0.422238,0.311344,0.221788,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.6118
32,stage0_head_only,0.422847,0.312409,0.220877,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.8586
33,stage0_head_only,0.426353,0.315826,0.221056,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.5527
34,stage0_head_only,0.437835,0.323906,0.227857,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.6110
35,stage0_head_only,0.433409,0.321539,0.223741,0.000000,0.000000,0.000000,0.000000,0.000000,4.30e-05,0.6152
36,stage0_head_only,0.433515,0.320483,0.226064,0.000000,0.000000,0.000000,0.000000,0.000000,4.42e-05,0.6994
37,stage0_head_only,0.429075,0.318000,0.222151,0.000000,0.000000,0.000000,0.000000,0.000000,4.53e-05,0.6555
38,stage0_head_only,0.415073,0.305436,0.219274,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-05,1.0319
39,stage0_head_only,0.427424,0.316854,0.221140,0.000000,0.000000,0.000000,0.000000,0.000000,4.77e-05,0.7691
40,stage0_head_only,0.421128,0.310550,0.221156,0.000000,0.000000,0.000000,0.000000,0.000000,4.88e-05,0.7177
41,stage0_head_only,0.430373,0.318025,0.224695,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5811
42,stage0_head_only,0.412506,0.305103,0.214805,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7433
43,stage1_layout,0.424454,0.315437,0.218035,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6158
44,stage1_layout,0.422376,0.314158,0.216436,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.8419
45,stage1_layout,0.422453,0.313616,0.217673,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6450
46,stage1_layout,0.439131,0.325781,0.226700,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,1.0904
47,stage1_layout,0.425581,0.316325,0.218511,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.9976
48,stage1_layout,0.432034,0.320471,0.223126,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6648
49,stage1_layout,0.430016,0.321160,0.217712,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6866
50,stage1_layout,0.425781,0.318102,0.215358,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5369
51,stage1_layout,0.427022,0.317545,0.218954,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6768
52,stage1_layout,0.425241,0.315982,0.218517,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5245
53,stage1_layout,0.423697,0.315208,0.216979,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6098
54,stage1_layout,0.427295,0.318105,0.218380,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5312
55,stage1_layout,0.423555,0.314974,0.217162,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6584
56,stage1_layout,0.424989,0.317597,0.214784,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6243
57,stage1_layout,0.429489,0.319053,0.220871,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5701
58,stage1_layout,0.429352,0.320984,0.216736,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5460
59,stage1_layout,0.421574,0.313329,0.216489,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5158
60,stage1_layout,0.431548,0.321923,0.219252,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4702
61,stage1_layout,0.428351,0.319077,0.218548,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6305
62,stage1_layout,0.424273,0.315470,0.217606,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5447
63,stage1_layout,0.414672,0.308582,0.212180,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4355
64,stage1_layout,0.435897,0.324850,0.222095,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4596
65,stage1_layout,0.415545,0.310177,0.210737,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4707
66,stage1_layout,0.425197,0.317500,0.215395,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4613
67,stage1_layout,0.419810,0.312710,0.214199,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5326
68,stage1_layout,0.414747,0.309567,0.210360,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4188
