step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.450524,0.332740,0.235568,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,0.8554
1,stage0_head_only,0.450485,0.334041,0.232887,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.9118
2,stage0_head_only,0.444337,0.327823,0.233027,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.7897
3,stage0_head_only,0.445552,0.327703,0.235700,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.8525
4,stage0_head_only,0.446636,0.329447,0.234379,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.8222
5,stage0_head_only,0.456791,0.337974,0.237634,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.7910
6,stage0_head_only,0.454478,0.335633,0.237690,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.7613
7,stage0_head_only,0.445050,0.328475,0.233150,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.7034
8,stage0_head_only,0.451890,0.334231,0.235320,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.5868
9,stage0_head_only,0.447629,0.333221,0.228816,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.8334
10,stage0_head_only,0.438976,0.325525,0.226902,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.5772
11,stage0_head_only,0.444783,0.329393,0.230779,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.5618
12,stage0_head_only,0.447488,0.331993,0.230992,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.5645
13,stage0_head_only,0.444580,0.329600,0.229961,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.7782
14,stage0_head_only,0.446645,0.331213,0.230864,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.6057
15,stage0_head_only,0.430794,0.318933,0.223722,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.6610
16,stage0_head_only,0.445069,0.330360,0.229419,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.5958
17,stage0_head_only,0.451654,0.335993,0.231322,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.5122
18,stage0_head_only,0.441746,0.326635,0.230222,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.8853
19,stage0_head_only,0.444925,0.329281,0.231288,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.5338
20,stage0_head_only,0.444336,0.329389,0.229894,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.7677
21,stage0_head_only,0.435451,0.322959,0.224984,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.7289
22,stage0_head_only,0.435408,0.322013,0.226790,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.5138
23,stage0_head_only,0.432632,0.320786,0.223691,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.5585
24,stage0_head_only,0.439508,0.324417,0.230182,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.4688
25,stage0_head_only,0.436809,0.323005,0.227607,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.6812
26,stage0_head_only,0.436422,0.322735,0.227375,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,0.9309
27,stage0_head_only,0.434992,0.322182,0.225620,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.8582
28,stage0_head_only,0.447099,0.329626,0.234946,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.5107
29,stage0_head_only,0.434492,0.322439,0.224107,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.8684
30,stage0_head_only,0.426424,0.316458,0.219932,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.7739
31,stage0_head_only,0.429819,0.319148,0.221342,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.5414
32,stage0_head_only,0.430316,0.319796,0.221041,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.4972
33,stage0_head_only,0.429193,0.318567,0.221252,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.5509
34,stage0_head_only,0.439897,0.326473,0.226848,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.6166
35,stage0_head_only,0.441250,0.328372,0.225756,0.000000,0.000000,0.000000,0.000000,0.000000,4.30e-05,0.6058
36,stage0_head_only,0.440175,0.326043,0.228263,0.000000,0.000000,0.000000,0.000000,0.000000,4.42e-05,0.5471
