step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,autorgn_single,0.457270,0.337906,0.238728,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,1.4463
1,autorgn_single,0.456018,0.338664,0.234709,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.9096
2,autorgn_single,0.451178,0.333296,0.235764,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.7765
3,autorgn_single,0.451304,0.331789,0.239030,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.8462
4,autorgn_single,0.447903,0.330551,0.234704,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.8065
5,autorgn_single,0.450021,0.332289,0.235462,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.7837
6,autorgn_single,0.459057,0.339221,0.239672,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.7585
7,autorgn_single,0.444249,0.328211,0.232076,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.6887
8,autorgn_single,0.455042,0.336832,0.236421,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.5756
9,autorgn_single,0.447402,0.332497,0.229810,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.8268
10,autorgn_single,0.446500,0.331048,0.230905,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.5704
11,autorgn_single,0.445565,0.330639,0.229851,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.5376
12,autorgn_single,0.441601,0.327378,0.228446,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.5623
13,autorgn_single,0.443021,0.328181,0.229681,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.7559
14,autorgn_single,0.445133,0.330358,0.229551,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.6137
15,autorgn_single,0.444606,0.329382,0.230448,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.6461
16,autorgn_single,0.435347,0.323521,0.223652,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.6173
17,autorgn_single,0.443005,0.329217,0.227576,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.5199
18,autorgn_single,0.434095,0.321568,0.225054,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.8763
19,autorgn_single,0.441111,0.326923,0.228376,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.5065
20,autorgn_single,0.436293,0.324211,0.224164,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.7561
21,autorgn_single,0.438839,0.326498,0.224681,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.6954
22,autorgn_single,0.442068,0.327935,0.228266,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.5032
23,autorgn_single,0.433862,0.322358,0.223010,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.5142
24,autorgn_single,0.443587,0.327878,0.231418,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.4674
25,autorgn_single,0.440180,0.326288,0.227784,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.6508
26,autorgn_single,0.426191,0.315258,0.221867,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,0.9062
27,autorgn_single,0.428689,0.317795,0.221789,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.8307
28,autorgn_single,0.429669,0.317837,0.223664,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.4930
29,autorgn_single,0.431746,0.320823,0.221846,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.8130
30,autorgn_single,0.433936,0.322497,0.222879,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.6955
31,autorgn_single,0.427237,0.317666,0.219142,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.5493
32,autorgn_single,0.436162,0.323933,0.224458,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.4526
33,autorgn_single,0.436615,0.324612,0.224006,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.5353
34,autorgn_single,0.429738,0.320112,0.219251,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.5783
