# within=0.1087 between=-0.0021 gap=0.1107 perm_p=0.1598 N=17 n_perm=5000 seed=0
metric,family,act,mcos,tax,fut,rollout,causal,tdist,teacher_free,maskratio,aot,tov,pace,tcc_tau,tcc_cycle
act,head/probe,,0.9136,-0.7443,0.0736,-0.2440,0.1312,-0.3899,-0.2465,0.3458,-0.4567,-0.5800,-0.2564,-0.1337,-0.8277
mcos,head/probe,0.9136,,-0.8186,-0.0441,-0.2206,0.0417,-0.5319,-0.3064,0.2990,-0.4393,-0.6936,-0.2477,-0.3113,-0.9657
tax,head/probe,-0.7443,-0.8186,,-0.0539,0.3701,-0.0711,0.6127,0.4779,-0.3260,0.5546,0.4608,0.2244,0.3603,0.8578
fut,predictor,0.0736,-0.0441,-0.0539,,-0.6887,0.9730,-0.3480,-0.2132,0.7549,-0.6294,-0.2549,0.3666,-0.5564,0.0123
rollout,predictor,-0.2440,-0.2206,0.3701,-0.6887,,-0.6838,0.6078,0.8064,-0.7426,0.6061,0.5539,0.1251,0.6471,0.3554
causal,predictor,0.1312,0.0417,-0.0711,0.9730,-0.6838,,-0.4118,-0.1887,0.7574,-0.6270,-0.3064,0.4243,-0.6275,-0.0760
tdist,predictor,-0.3899,-0.5319,0.6127,-0.3480,0.6078,-0.4118,,0.6520,-0.4926,0.4883,0.4755,0.1189,0.6544,0.6691
teacher_free,predictor,-0.2465,-0.3064,0.4779,-0.2132,0.8064,-0.1887,0.6520,,-0.4265,0.3067,0.4828,0.5175,0.4289,0.4681
maskratio,predictor,0.3458,0.2990,-0.3260,0.7549,-0.7426,0.7574,-0.4926,-0.4265,,-0.6245,-0.6250,-0.0773,-0.5490,-0.3407
aot,encoder-temporal,-0.4567,-0.4393,0.5546,-0.6294,0.6061,-0.6270,0.4883,0.3067,-0.6245,,0.5202,-0.2044,0.5166,0.4442
tov,encoder-temporal,-0.5800,-0.6936,0.4608,-0.2549,0.5539,-0.3064,0.4755,0.4828,-0.6250,0.5202,,0.3041,0.4461,0.7255
pace,encoder-temporal,-0.2564,-0.2477,0.2244,0.3666,0.1251,0.4243,0.1189,0.5175,-0.0773,-0.2044,0.3041,,-0.1496,0.2833
tcc_tau,encoder-temporal,-0.1337,-0.3113,0.3603,-0.5564,0.6471,-0.6275,0.6544,0.4289,-0.5490,0.5166,0.4461,-0.1496,,0.4510
tcc_cycle,encoder-temporal,-0.8277,-0.9657,0.8578,0.0123,0.3554,-0.0760,0.6691,0.4681,-0.3407,0.4442,0.7255,0.2833,0.4510,
