step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,peft_single,0.497591,0.360618,0.273946,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,1.7122
1,peft_single,0.497738,0.362554,0.270369,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,1.6841
2,peft_single,0.495985,0.359586,0.272797,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,1.4651
3,peft_single,0.491864,0.355252,0.273224,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,1.6852
4,peft_single,0.498695,0.361929,0.273533,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,1.4355
5,peft_single,0.503831,0.366257,0.275149,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,1.6174
6,peft_single,0.506083,0.367461,0.277243,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,1.3980
7,peft_single,0.497900,0.361007,0.273784,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,1.1099
8,peft_single,0.491223,0.357391,0.267663,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.9900
9,peft_single,0.487125,0.355475,0.263299,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.9910
10,peft_single,0.485332,0.352978,0.264709,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.8396
11,peft_single,0.488958,0.356394,0.265128,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.8144
12,peft_single,0.487950,0.355049,0.265803,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.8504
13,peft_single,0.494748,0.360649,0.268199,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,1.1395
14,peft_single,0.488725,0.356040,0.265371,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.7966
15,peft_single,0.491543,0.358313,0.266460,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.8531
16,peft_single,0.497704,0.363804,0.267800,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.7685
17,peft_single,0.495132,0.361019,0.268226,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.5917
18,peft_single,0.484337,0.351744,0.265186,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,1.0697
19,peft_single,0.486157,0.353535,0.265244,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.7492
20,peft_single,0.481526,0.351011,0.261028,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.8197
21,peft_single,0.490115,0.356892,0.266446,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.8613
22,peft_single,0.482522,0.351925,0.261194,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.6542
23,peft_single,0.475319,0.346574,0.257489,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.6630
24,peft_single,0.479881,0.347757,0.264247,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.6436
25,peft_single,0.478892,0.348313,0.261158,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.9822
26,peft_single,0.478352,0.348335,0.260033,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,0.9813
27,peft_single,0.484408,0.353684,0.261448,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.8422
28,peft_single,0.478135,0.347865,0.260540,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.5876
29,peft_single,0.475118,0.346989,0.256259,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.9835
