step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,autorgn_single,0.504718,0.365700,0.278036,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,1.3721
1,autorgn_single,0.497062,0.361249,0.271626,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.9243
2,autorgn_single,0.501874,0.362408,0.278932,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,1.0449
3,autorgn_single,0.497648,0.361318,0.272660,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.8687
4,autorgn_single,0.496475,0.360115,0.272721,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.8078
5,autorgn_single,0.501473,0.364289,0.274367,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.8246
6,autorgn_single,0.501020,0.364163,0.273714,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.7854
7,autorgn_single,0.502555,0.364241,0.276628,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,1.0690
8,autorgn_single,0.500954,0.364697,0.272514,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.6913
9,autorgn_single,0.492024,0.357518,0.269012,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.6074
10,autorgn_single,0.502631,0.366448,0.272365,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.6772
11,autorgn_single,0.493440,0.359323,0.268235,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.6128
12,autorgn_single,0.494023,0.360249,0.267549,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.4964
13,autorgn_single,0.486407,0.354126,0.264562,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.9546
14,autorgn_single,0.492722,0.359510,0.266423,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.8089
15,autorgn_single,0.479749,0.349378,0.260741,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.7522
16,autorgn_single,0.494133,0.362001,0.264264,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.7410
17,autorgn_single,0.482123,0.350312,0.263622,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.8330
18,autorgn_single,0.480400,0.349459,0.261883,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.6090
19,autorgn_single,0.477020,0.347794,0.258452,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.5552
20,autorgn_single,0.473022,0.345169,0.255706,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.9109
21,autorgn_single,0.482147,0.351735,0.260824,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.6487
22,autorgn_single,0.476220,0.347205,0.258030,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.8910
23,autorgn_single,0.478637,0.349038,0.259197,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.4934
24,autorgn_single,0.478936,0.349493,0.258885,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.6279
25,autorgn_single,0.481873,0.353431,0.256885,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.5671
26,autorgn_single,0.480189,0.349912,0.260554,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,0.6455
27,autorgn_single,0.473866,0.346536,0.254659,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.6181
28,autorgn_single,0.477365,0.350083,0.254564,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.6186
29,autorgn_single,0.483843,0.353990,0.259705,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.6668
30,autorgn_single,0.481484,0.352485,0.257998,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.6318
31,autorgn_single,0.487198,0.355692,0.263012,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.6769
32,autorgn_single,0.478574,0.350396,0.256356,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.6842
33,autorgn_single,0.470581,0.345061,0.251040,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.7569
34,autorgn_single,0.476953,0.349045,0.255816,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.4660
35,autorgn_single,0.471963,0.345829,0.252269,0.000000,0.000000,0.000000,0.000000,0.000000,4.30e-05,0.5078
36,autorgn_single,0.471675,0.345448,0.252454,0.000000,0.000000,0.000000,0.000000,0.000000,4.42e-05,0.5303
37,autorgn_single,0.469476,0.344913,0.249126,0.000000,0.000000,0.000000,0.000000,0.000000,4.53e-05,0.4927
38,autorgn_single,0.473699,0.347246,0.252905,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-05,0.5809
39,autorgn_single,0.474445,0.346291,0.256307,0.000000,0.000000,0.000000,0.000000,0.000000,4.77e-05,0.5412
40,autorgn_single,0.470364,0.344405,0.251919,0.000000,0.000000,0.000000,0.000000,0.000000,4.88e-05,0.5138
41,autorgn_single,0.472034,0.347073,0.249922,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5094
42,autorgn_single,0.458955,0.336199,0.245514,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5723
43,autorgn_single,0.476239,0.348713,0.255052,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7393
44,autorgn_single,0.462889,0.338584,0.248610,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4096
45,autorgn_single,0.457867,0.334835,0.246064,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7056
46,autorgn_single,0.470834,0.345055,0.251559,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5110
47,autorgn_single,0.469185,0.345159,0.248053,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6470
48,autorgn_single,0.465245,0.340872,0.248745,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4577
49,autorgn_single,0.471168,0.347551,0.247234,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4650
50,autorgn_single,0.481329,0.353016,0.256627,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7200
51,autorgn_single,0.466928,0.342687,0.248482,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6311
52,autorgn_single,0.459765,0.337157,0.245215,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5407
53,autorgn_single,0.458077,0.336474,0.243207,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4443
54,autorgn_single,0.456778,0.335113,0.243330,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4504
55,autorgn_single,0.469716,0.346501,0.246430,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4843
56,autorgn_single,0.466518,0.343775,0.245485,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4841
57,autorgn_single,0.455715,0.334422,0.242585,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5014
58,autorgn_single,0.459009,0.337101,0.243816,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4451
59,autorgn_single,0.465572,0.342116,0.246910,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6235
60,autorgn_single,0.472926,0.345909,0.254033,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5099
61,autorgn_single,0.459156,0.336798,0.244716,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4728
62,autorgn_single,0.463555,0.340408,0.246294,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4267
63,autorgn_single,0.466348,0.342794,0.247108,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5390
64,autorgn_single,0.461805,0.338876,0.245858,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4277
65,autorgn_single,0.450121,0.330568,0.239106,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6291
66,autorgn_single,0.466323,0.343441,0.245763,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5136
67,autorgn_single,0.459345,0.338704,0.241283,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6252
