step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.483872,0.000000,0.963381,1.75e-06,3.2128,0.03,
1,0,0.489294,0.000000,0.982647,3.51e-06,2.9448,0.04,
2,0,0.481693,0.000000,0.895156,5.26e-06,3.0323,0.04,
3,0,0.483703,0.000000,0.867721,7.02e-06,1.6132,0.04,
4,0,0.482348,0.000000,1.016100,8.77e-06,1.3874,0.04,
5,0,0.485801,0.000000,0.806611,1.05e-05,2.7753,0.04,
6,0,0.484399,0.000000,0.823998,1.23e-05,1.5578,0.04,
7,0,0.489937,0.000000,0.818420,1.40e-05,0.5118,0.04,
8,0,0.479095,0.000000,0.822335,1.58e-05,0.5838,0.04,
9,0,0.476172,0.000000,0.844566,1.75e-05,0.3848,0.04,
10,0,0.484017,0.000000,0.832644,1.93e-05,0.3272,0.04,
11,0,0.487522,0.000000,0.807769,2.11e-05,0.6340,0.04,
12,0,0.475963,0.000000,0.813725,2.28e-05,0.5965,0.04,
13,0,0.485110,0.000000,0.814690,2.46e-05,0.3468,0.04,
14,0,0.481351,0.000000,0.806061,2.63e-05,0.6645,0.04,
15,0,0.470476,0.000000,0.872772,2.81e-05,0.2559,0.04,
16,0,0.482436,0.000000,0.827065,2.98e-05,0.2380,0.04,
17,0,0.486037,0.000000,0.807200,3.16e-05,0.3257,0.04,
18,0,0.475564,0.000000,0.769668,3.33e-05,0.3666,0.04,
19,0,0.484335,0.000000,0.775954,3.51e-05,0.3964,0.04,
20,0,0.476166,0.000000,0.758814,3.68e-05,0.2570,0.04,
21,0,0.476065,0.000000,0.774867,3.86e-05,0.3338,0.04,
22,0,0.475746,0.000000,0.728058,4.04e-05,0.2321,0.04,
23,0,0.478069,0.000000,0.755572,4.21e-05,0.2300,0.04,
24,0,0.473050,0.000000,0.785574,4.39e-05,0.2055,0.04,
25,0,0.470728,0.000000,0.802821,4.56e-05,0.2722,0.04,
26,0,0.469753,0.000000,0.758923,4.74e-05,0.2206,0.04,
27,0,0.468020,0.000000,0.802316,4.91e-05,0.1857,0.04,
28,0,0.479200,0.000000,0.859516,5.09e-05,0.2529,0.04,
29,0,0.479089,0.000000,0.803211,5.26e-05,0.3191,0.04,
30,0,0.480239,0.000000,0.795341,5.44e-05,0.1550,0.04,
31,0,0.479603,0.000000,0.722967,5.61e-05,0.1788,0.04,
32,0,0.476703,0.000000,0.759931,5.79e-05,0.2671,0.04,
33,0,0.483751,0.000000,0.788448,5.96e-05,0.1966,0.04,
34,0,0.497856,0.000000,0.828637,6.14e-05,0.2494,0.04,
35,0,0.486436,0.000000,0.858222,6.32e-05,0.1591,0.04,
36,0,0.482649,0.000000,0.778768,6.49e-05,0.2172,0.04,
37,0,0.475301,0.000000,0.721539,6.67e-05,0.2073,0.04,
38,0,0.477347,0.000000,0.719834,6.84e-05,0.1566,0.04,
39,0,0.476740,0.000000,0.761685,7.02e-05,0.2475,0.04,
40,0,0.477663,0.000000,0.778550,7.19e-05,0.2436,0.04,
41,0,0.480463,0.000000,0.740044,7.37e-05,0.1876,0.04,
42,0,0.474155,0.000000,0.742835,7.54e-05,0.1838,0.04,
43,0,0.480638,0.000000,0.783785,7.72e-05,0.1932,0.04,
44,0,0.484112,0.000000,0.758680,7.89e-05,0.2158,0.04,
45,0,0.486361,0.000000,0.807174,8.07e-05,0.1773,0.04,
46,0,0.469274,0.000000,0.764100,8.25e-05,0.1909,0.04,
47,0,0.473267,0.000000,0.814265,8.42e-05,0.1738,0.04,
48,0,0.470697,0.000000,0.727885,8.60e-05,0.2036,0.04,
49,0,0.473992,0.000000,0.775791,8.77e-05,0.1660,0.04,
50,0,0.472308,0.000000,0.792903,8.95e-05,0.1505,0.04,
51,0,0.473519,0.000000,0.777583,9.12e-05,0.1639,0.04,
52,0,0.471077,0.000000,0.762201,9.30e-05,0.2344,0.04,
53,0,0.465703,0.000000,0.774717,9.47e-05,0.1966,0.04,
54,0,0.466156,0.000000,0.786958,9.65e-05,0.1508,0.04,
55,0,0.472175,0.000000,0.769791,9.82e-05,0.1633,0.04,
56,0,0.464589,0.000000,0.747449,1.00e-04,0.2017,0.04,
57,0,0.474376,0.000000,0.733382,1.00e-04,0.1606,0.04,
58,0,0.471561,0.000000,0.746797,1.00e-04,0.1869,0.04,
59,0,0.471223,0.000000,0.734293,1.00e-04,0.1383,0.04,
60,0,0.472281,0.000000,0.720323,1.00e-04,0.1687,0.04,
61,0,0.468731,0.000000,0.736999,1.00e-04,0.1852,0.04,
62,0,0.474324,0.000000,0.746864,1.00e-04,0.1528,0.04,
63,0,0.472894,0.000000,0.766042,9.99e-05,0.1762,0.04,
64,0,0.472603,0.000000,0.728977,9.99e-05,0.1451,0.04,
65,0,0.480070,0.000000,0.759952,9.99e-05,0.1707,0.04,
66,0,0.464812,0.000000,0.762817,9.99e-05,0.1904,0.04,
67,0,0.472613,0.000000,0.739684,9.98e-05,0.2547,0.04,
68,0,0.462837,0.000000,0.733310,9.98e-05,0.1658,0.04,
69,0,0.466366,0.000000,0.740740,9.98e-05,0.1486,0.04,
70,0,0.466957,0.000000,0.803853,9.97e-05,0.2108,0.04,
71,0,0.479208,0.000000,0.756355,9.97e-05,0.1911,0.04,
72,0,0.477303,0.000000,0.767314,9.97e-05,0.1630,0.04,
73,0,0.477561,0.000000,0.764167,9.96e-05,0.1679,0.04,
74,0,0.474024,0.000000,0.748760,9.96e-05,0.2260,0.04,
75,0,0.475064,0.000000,0.765114,9.95e-05,0.1617,0.04,
76,0,0.464242,0.000000,0.718361,9.95e-05,0.1516,0.04,
77,0,0.462874,0.000000,0.747402,9.94e-05,0.1450,0.04,
78,0,0.462789,0.000000,0.675182,9.93e-05,0.1679,0.04,
79,0,0.484768,0.000000,0.750803,9.93e-05,0.1444,0.04,
80,0,0.481767,0.000000,0.757119,9.92e-05,0.1833,0.04,
81,0,0.468235,0.000000,0.744898,9.91e-05,0.1791,0.04,
82,0,0.473926,0.000000,0.729875,9.91e-05,0.1435,0.04,
83,0,0.472916,0.000000,0.724983,9.90e-05,0.1438,0.04,
84,0,0.478626,0.000000,0.731922,9.89e-05,0.1310,0.04,
85,0,0.468277,0.000000,0.721335,9.89e-05,0.1797,0.04,
86,0,0.478971,0.000000,0.718137,9.88e-05,0.1486,0.04,
87,0,0.464920,0.000000,0.695764,9.87e-05,0.2139,0.04,
88,0,0.468956,0.000000,0.717190,9.86e-05,0.1375,0.04,
89,0,0.466505,0.000000,0.723662,9.85e-05,0.1611,0.04,
90,0,0.464920,0.000000,0.691114,9.84e-05,0.1444,0.04,
91,0,0.468391,0.000000,0.699552,9.83e-05,0.1377,0.04,
92,0,0.465777,0.000000,0.667418,9.82e-05,0.1792,0.04,
93,0,0.462053,0.000000,0.695309,9.81e-05,0.1942,0.04,
94,0,0.466061,0.000000,0.692669,9.80e-05,0.2009,0.04,
95,0,0.478772,0.000000,0.722143,9.79e-05,0.1627,0.04,
96,0,0.474844,0.000000,0.715258,9.78e-05,0.2520,0.04,
97,0,0.463420,0.000000,0.748182,9.77e-05,0.2542,0.04,
98,0,0.469347,0.000000,0.778558,9.76e-05,0.1662,0.04,
99,0,0.466708,0.000000,0.701151,9.75e-05,0.1887,0.04,
100,0,0.475465,0.000000,0.740738,9.74e-05,0.1575,0.04,
101,0,0.469962,0.000000,0.757795,9.73e-05,0.2205,0.04,
102,0,0.471342,0.000000,0.746005,9.71e-05,0.2069,0.04,
103,0,0.462018,0.000000,0.831226,9.70e-05,0.1449,0.04,
104,0,0.463754,0.000000,0.714822,9.69e-05,0.2455,0.04,
105,0,0.461750,0.000000,0.705826,9.68e-05,0.2221,0.04,
106,0,0.458955,0.000000,0.698428,9.66e-05,0.2385,0.04,
107,0,0.471740,0.000000,0.701542,9.65e-05,0.1751,0.04,
108,0,0.478700,0.000000,0.774803,9.64e-05,0.2100,0.04,
109,0,0.481417,0.000000,0.709682,9.62e-05,0.1352,0.04,
110,0,0.468292,0.000000,0.724423,9.61e-05,0.1559,0.04,
111,0,0.454113,0.000000,0.689056,9.59e-05,0.1725,0.04,
112,0,0.472682,0.000000,0.699345,9.58e-05,0.2262,0.04,
113,0,0.464493,0.000000,0.719760,9.56e-05,0.1860,0.04,
114,0,0.460775,0.000000,0.750325,9.55e-05,0.1772,0.04,
115,0,0.470403,0.000000,0.726326,9.53e-05,0.1729,0.04,
116,0,0.473070,0.000000,0.686794,9.52e-05,0.1485,0.04,
117,0,0.457602,0.000000,0.707111,9.50e-05,0.2782,0.04,
118,0,0.463897,0.000000,0.715703,9.48e-05,0.2577,0.04,
119,0,0.457083,0.000000,0.678899,9.47e-05,0.1792,0.04,
119,0,,,,,,,0.467325
120,0,0.470322,0.000000,0.695583,9.45e-05,0.1752,0.00,
121,0,0.459213,0.000000,0.693220,9.43e-05,0.1926,0.04,
122,0,0.454745,0.000000,0.685857,9.42e-05,0.1355,0.04,
123,0,0.465109,0.000000,0.678922,9.40e-05,0.1217,0.04,
124,0,0.459158,0.000000,0.681817,9.38e-05,0.2341,0.04,
125,0,0.465622,0.000000,0.688369,9.36e-05,0.1595,0.04,
126,0,0.456243,0.000000,0.709918,9.35e-05,0.1527,0.04,
127,0,0.460927,0.000000,0.683734,9.33e-05,0.1389,0.04,
128,0,0.471357,0.000000,0.731954,9.31e-05,0.2568,0.04,
129,0,0.461470,0.000000,0.702769,9.29e-05,0.1736,0.04,
130,0,0.464188,0.000000,0.658251,9.27e-05,0.1324,0.04,
131,0,0.457478,0.000000,0.724574,9.25e-05,0.1497,0.04,
