step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.503292,0.362643,0.281298,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,0.9556
1,stage0_head_only,0.506811,0.367179,0.279264,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.9935
2,stage0_head_only,0.510272,0.367868,0.284808,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,1.1082
3,stage0_head_only,0.506857,0.365386,0.282942,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,1.1198
4,stage0_head_only,0.506573,0.364903,0.283341,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,1.1595
5,stage0_head_only,0.512956,0.370775,0.284363,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,1.1939
6,stage0_head_only,0.505973,0.365823,0.280300,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.9219
7,stage0_head_only,0.499788,0.361292,0.276992,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.9991
8,stage0_head_only,0.503231,0.361956,0.282549,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.9200
9,stage0_head_only,0.499105,0.361761,0.274688,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.7925
10,stage0_head_only,0.498199,0.359764,0.276871,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.7928
11,stage0_head_only,0.498055,0.360381,0.275347,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.8149
12,stage0_head_only,0.503926,0.365405,0.277042,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.7383
13,stage0_head_only,0.504782,0.365151,0.279263,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.6515
14,stage0_head_only,0.497090,0.359862,0.274457,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.9833
15,stage0_head_only,0.491646,0.356553,0.270186,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.7732
16,stage0_head_only,0.493272,0.358426,0.269691,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.8371
17,stage0_head_only,0.494651,0.358899,0.271505,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.8592
18,stage0_head_only,0.489369,0.353188,0.272362,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.8284
19,stage0_head_only,0.484800,0.350820,0.267959,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.5689
20,stage0_head_only,0.495839,0.358644,0.274388,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.5956
21,stage0_head_only,0.496029,0.360985,0.270087,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.6792
22,stage0_head_only,0.483893,0.349255,0.269275,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.5860
23,stage0_head_only,0.492564,0.357254,0.270620,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.8216
24,stage0_head_only,0.483145,0.350139,0.266011,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.7631
25,stage0_head_only,0.482656,0.350616,0.264079,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.5540
26,stage0_head_only,0.488205,0.354325,0.267759,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,0.5510
27,stage0_head_only,0.479192,0.347395,0.263594,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.4642
28,stage0_head_only,0.483640,0.350393,0.266496,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.6114
29,stage0_head_only,0.482157,0.350118,0.264078,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.7546
30,stage0_head_only,0.472233,0.341593,0.261281,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.6790
31,stage0_head_only,0.470692,0.340538,0.260309,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.6372
32,stage0_head_only,0.481243,0.348418,0.265650,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.5125
33,stage0_head_only,0.472100,0.342120,0.259961,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.8551
34,stage0_head_only,0.473067,0.344926,0.256281,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.5091
35,stage0_head_only,0.480376,0.350197,0.260358,0.000000,0.000000,0.000000,0.000000,0.000000,4.30e-05,0.5910
36,stage0_head_only,0.478207,0.346570,0.263273,0.000000,0.000000,0.000000,0.000000,0.000000,4.42e-05,0.5589
37,stage0_head_only,0.475013,0.345164,0.259699,0.000000,0.000000,0.000000,0.000000,0.000000,4.53e-05,0.5275
38,stage0_head_only,0.466451,0.338035,0.256832,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-05,0.8124
