step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.498270,0.359433,0.277674,0.000000,0.597445,0.000000,0.000000,0.000000,2.33e-06,0.8984
1,stage0_head_only,0.506349,0.366514,0.279670,0.000000,0.615204,0.000000,0.000000,0.000000,3.49e-06,1.0248
2,stage0_head_only,0.507703,0.366970,0.281466,0.000000,0.599216,0.000000,0.000000,0.000000,4.65e-06,0.9252
3,stage0_head_only,0.501756,0.362784,0.277943,0.000000,0.611101,0.000000,0.000000,0.000000,5.81e-06,0.8235
4,stage0_head_only,0.506159,0.364554,0.283210,0.000000,0.609680,0.000000,0.000000,0.000000,6.98e-06,1.2226
5,stage0_head_only,0.507346,0.368080,0.278532,0.000000,0.608533,0.000000,0.000000,0.000000,8.14e-06,1.1504
6,stage0_head_only,0.502992,0.363385,0.279215,0.000000,0.598021,0.000000,0.000000,0.000000,9.30e-06,0.8859
7,stage0_head_only,0.502038,0.362751,0.278575,0.000000,0.617189,0.000000,0.000000,0.000000,1.05e-05,0.9774
8,stage0_head_only,0.504966,0.363525,0.282883,0.000000,0.617730,0.000000,0.000000,0.000000,1.16e-05,0.9268
9,stage0_head_only,0.501204,0.363046,0.276315,0.000000,0.622254,0.000000,0.000000,0.000000,1.28e-05,0.8615
10,stage0_head_only,0.498696,0.360610,0.276171,0.000000,0.617800,0.000000,0.000000,0.000000,1.40e-05,0.8142
11,stage0_head_only,0.503720,0.364467,0.278505,0.000000,0.615210,0.000000,0.000000,0.000000,1.51e-05,0.8414
12,stage0_head_only,0.501164,0.364304,0.273719,0.000000,0.619662,0.000000,0.000000,0.000000,1.63e-05,0.7143
13,stage0_head_only,0.498970,0.362958,0.272024,0.000000,0.617660,0.000000,0.000000,0.000000,1.74e-05,0.6274
14,stage0_head_only,0.496049,0.359945,0.272208,0.000000,0.613903,0.000000,0.000000,0.000000,1.86e-05,0.6465
15,stage0_head_only,0.485355,0.352524,0.265662,0.000000,0.613168,0.000000,0.000000,0.000000,1.98e-05,0.8983
16,stage0_head_only,0.494872,0.358978,0.271789,0.000000,0.617620,0.000000,0.000000,0.000000,2.09e-05,0.5924
17,stage0_head_only,0.493690,0.357791,0.271797,0.000000,0.614879,0.000000,0.000000,0.000000,2.21e-05,0.7651
18,stage0_head_only,0.485370,0.350015,0.270710,0.000000,0.609091,0.000000,0.000000,0.000000,2.33e-05,0.7118
19,stage0_head_only,0.484587,0.351381,0.266412,0.000000,0.616645,0.000000,0.000000,0.000000,2.44e-05,0.7705
20,stage0_head_only,0.494810,0.357543,0.274534,0.000000,0.605081,0.000000,0.000000,0.000000,2.56e-05,0.8040
21,stage0_head_only,0.501527,0.363428,0.276198,0.000000,0.619254,0.000000,0.000000,0.000000,2.67e-05,0.6844
22,stage0_head_only,0.482505,0.350002,0.265005,0.000000,0.600566,0.000000,0.000000,0.000000,2.79e-05,0.6693
23,stage0_head_only,0.491305,0.356694,0.269222,0.000000,0.621820,0.000000,0.000000,0.000000,2.91e-05,0.6491
24,stage0_head_only,0.485725,0.352956,0.265538,0.000000,0.614898,0.000000,0.000000,0.000000,3.02e-05,0.8242
25,stage0_head_only,0.484481,0.351791,0.265380,0.000000,0.607226,0.000000,0.000000,0.000000,3.14e-05,0.7584
26,stage0_head_only,0.486129,0.353402,0.265455,0.000000,0.611882,0.000000,0.000000,0.000000,3.26e-05,0.7685
27,stage0_head_only,0.478694,0.347130,0.263127,0.000000,0.601298,0.000000,0.000000,0.000000,3.37e-05,0.5749
28,stage0_head_only,0.485042,0.352748,0.264589,0.000000,0.606694,0.000000,0.000000,0.000000,3.49e-05,0.5308
