step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,full_ft_single,0.492410,0.356067,0.272687,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,1.0971
1,full_ft_single,0.500244,0.364483,0.271521,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.9421
2,full_ft_single,0.498652,0.362177,0.272950,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.9265
3,full_ft_single,0.495334,0.358652,0.273364,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,1.1206
4,full_ft_single,0.498680,0.362355,0.272650,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.8697
5,full_ft_single,0.500509,0.364255,0.272509,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.8244
6,full_ft_single,0.498111,0.362652,0.270918,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.8420
7,full_ft_single,0.493311,0.358663,0.269296,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.6952
8,full_ft_single,0.493575,0.359543,0.268063,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.5955
9,full_ft_single,0.487585,0.357075,0.261022,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.8805
10,full_ft_single,0.482346,0.352306,0.260079,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.5896
11,full_ft_single,0.484895,0.354433,0.260923,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.6828
12,full_ft_single,0.489054,0.357620,0.262867,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.7964
13,full_ft_single,0.489985,0.358343,0.263283,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.6304
14,full_ft_single,0.487269,0.356123,0.262291,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.6699
15,full_ft_single,0.481623,0.352408,0.258429,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.6498
16,full_ft_single,0.482255,0.353522,0.257467,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.6313
17,full_ft_single,0.487989,0.357107,0.261763,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.6310
18,full_ft_single,0.477964,0.347853,0.260224,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.9231
19,full_ft_single,0.482855,0.351995,0.261719,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.5943
20,full_ft_single,0.485710,0.354943,0.261535,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.7550
21,full_ft_single,0.491145,0.359519,0.263252,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.6281
22,full_ft_single,0.471994,0.344860,0.254268,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.6302
23,full_ft_single,0.476072,0.348330,0.255484,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.4989
24,full_ft_single,0.480717,0.349690,0.262054,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.6192
25,full_ft_single,0.475753,0.346588,0.258329,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.8138
26,full_ft_single,0.480727,0.350478,0.260498,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,0.9507
27,full_ft_single,0.473786,0.346396,0.254781,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.7506
28,full_ft_single,0.487202,0.355652,0.263101,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.5486
29,full_ft_single,0.474078,0.346709,0.254737,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.8192
30,full_ft_single,0.464923,0.339680,0.250486,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.7178
31,full_ft_single,0.464953,0.339149,0.251609,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.5355
32,full_ft_single,0.474601,0.347863,0.253475,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.5113
33,full_ft_single,0.469460,0.343173,0.252573,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.5808
34,full_ft_single,0.469689,0.343902,0.251574,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.5980
35,full_ft_single,0.471384,0.345577,0.251615,0.000000,0.000000,0.000000,0.000000,0.000000,4.30e-05,0.5621
36,full_ft_single,0.482816,0.352857,0.259918,0.000000,0.000000,0.000000,0.000000,0.000000,4.42e-05,0.4755
37,full_ft_single,0.473617,0.345917,0.255400,0.000000,0.000000,0.000000,0.000000,0.000000,4.53e-05,0.5505
38,full_ft_single,0.470633,0.343487,0.254293,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-05,0.4534
39,full_ft_single,0.467176,0.342950,0.248453,0.000000,0.000000,0.000000,0.000000,0.000000,4.77e-05,0.4825
40,full_ft_single,0.468641,0.342904,0.251474,0.000000,0.000000,0.000000,0.000000,0.000000,4.88e-05,0.4804
41,full_ft_single,0.469372,0.344588,0.249566,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5799
42,full_ft_single,0.462748,0.339049,0.247396,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7027
43,full_ft_single,0.470972,0.344718,0.252509,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6726
44,full_ft_single,0.468873,0.343799,0.250147,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4193
45,full_ft_single,0.462408,0.338875,0.247064,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5379
46,full_ft_single,0.460643,0.338192,0.244902,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.8429
47,full_ft_single,0.464856,0.341119,0.247475,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5732
48,full_ft_single,0.457440,0.335467,0.243947,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5403
49,full_ft_single,0.463008,0.340428,0.245160,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6270
50,full_ft_single,0.451787,0.330925,0.241725,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5521
51,full_ft_single,0.463485,0.339229,0.248511,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4579
52,full_ft_single,0.464421,0.342262,0.244316,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5798
53,full_ft_single,0.458898,0.335759,0.246279,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6121
54,full_ft_single,0.471710,0.347567,0.248284,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6495
55,full_ft_single,0.457729,0.335635,0.244188,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6182
56,full_ft_single,0.461705,0.337066,0.249280,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4166
