step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,peft_single,0.455045,0.336380,0.237331,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,1.7513
1,peft_single,0.443657,0.327671,0.231972,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,1.5176
2,peft_single,0.445683,0.327495,0.236377,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,1.5289
3,peft_single,0.439881,0.323654,0.232454,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,1.4711
4,peft_single,0.449881,0.331797,0.236167,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,1.4526
5,peft_single,0.450722,0.333021,0.235402,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,1.5969
6,peft_single,0.451682,0.333899,0.235566,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,1.2257
7,peft_single,0.443212,0.326342,0.233740,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,1.3025
8,peft_single,0.448268,0.330996,0.234544,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,1.4183
9,peft_single,0.442603,0.328140,0.228928,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,1.0279
10,peft_single,0.441497,0.326246,0.230503,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.9736
11,peft_single,0.447155,0.330842,0.232625,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,1.1712
12,peft_single,0.436699,0.322589,0.228220,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,1.0005
13,peft_single,0.449786,0.332708,0.234155,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.7533
14,peft_single,0.445515,0.329468,0.232093,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,1.0272
15,peft_single,0.442625,0.328515,0.228219,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.8410
16,peft_single,0.443533,0.329857,0.227352,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.7965
17,peft_single,0.442889,0.327384,0.231010,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.8151
18,peft_single,0.441980,0.328087,0.227787,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.8856
19,peft_single,0.443990,0.329418,0.229144,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,1.0694
20,peft_single,0.440214,0.326627,0.227175,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.9408
21,peft_single,0.444512,0.330864,0.227296,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.7882
22,peft_single,0.432571,0.320420,0.224302,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.8174
23,peft_single,0.433215,0.321471,0.223488,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.8296
24,peft_single,0.439479,0.326382,0.226193,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.8129
25,peft_single,0.435828,0.323908,0.223841,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,1.0903
26,peft_single,0.438349,0.325810,0.225078,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,1.1856
27,peft_single,0.440534,0.327093,0.226880,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.6959
28,peft_single,0.443675,0.329483,0.228384,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.7668
29,peft_single,0.440374,0.326865,0.227017,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.7861
30,peft_single,0.428008,0.317064,0.221887,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.7625
31,peft_single,0.433987,0.322144,0.223686,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.6203
32,peft_single,0.432746,0.321363,0.222766,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.5220
33,peft_single,0.434100,0.323705,0.220789,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.7226
34,peft_single,0.438473,0.326355,0.224237,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.8629
35,peft_single,0.434659,0.322951,0.223417,0.000000,0.000000,0.000000,0.000000,0.000000,4.30e-05,0.7842
