step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,peft_single,0.455045,0.336380,0.237331,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,1.7514
1,peft_single,0.443652,0.327665,0.231975,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,1.5195
2,peft_single,0.445682,0.327494,0.236377,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,1.5323
3,peft_single,0.439862,0.323637,0.232451,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,1.4722
4,peft_single,0.449885,0.331800,0.236170,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,1.4607
5,peft_single,0.450721,0.333020,0.235402,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,1.5986
6,peft_single,0.451675,0.333893,0.235564,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,1.2242
7,peft_single,0.443215,0.326340,0.233749,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,1.3062
8,peft_single,0.448278,0.331002,0.234551,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,1.0767
9,peft_single,0.442594,0.328135,0.228918,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,1.0285
10,peft_single,0.441480,0.326241,0.230478,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.9712
11,peft_single,0.447100,0.330801,0.232597,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,1.1685
12,peft_single,0.436671,0.322574,0.228192,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,1.0063
13,peft_single,0.449750,0.332691,0.234117,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.7508
14,peft_single,0.445485,0.329451,0.232070,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,1.0259
15,peft_single,0.442591,0.328492,0.228198,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.8467
16,peft_single,0.443543,0.329873,0.227340,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.8040
17,peft_single,0.442870,0.327364,0.231014,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.8160
18,peft_single,0.441986,0.328089,0.227794,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.8936
19,peft_single,0.444003,0.329426,0.229153,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,1.0688
20,peft_single,0.440206,0.326611,0.227189,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.9419
21,peft_single,0.444534,0.330875,0.227319,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.7894
22,peft_single,0.432579,0.320416,0.224326,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.8127
23,peft_single,0.433227,0.321478,0.223497,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.8320
24,peft_single,0.439452,0.326357,0.226190,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.8102
25,peft_single,0.435789,0.323872,0.223835,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,1.0948
26,peft_single,0.438322,0.325787,0.225070,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,1.1927
27,peft_single,0.440505,0.327069,0.226872,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.6883
28,peft_single,0.443664,0.329476,0.228378,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.7603
29,peft_single,0.440407,0.326896,0.227021,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.7841
30,peft_single,0.427993,0.317047,0.221892,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.7589
31,peft_single,0.434028,0.322181,0.223693,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.6208
32,peft_single,0.432732,0.321349,0.222767,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.5293
33,peft_single,0.434092,0.323701,0.220783,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.7200
34,peft_single,0.438453,0.326338,0.224230,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.8650
35,peft_single,0.434722,0.323003,0.223437,0.000000,0.000000,0.000000,0.000000,0.000000,4.30e-05,0.7789
