step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.450218,0.331444,0.237549,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,0.8476
1,stage0_head_only,0.443496,0.326182,0.234627,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.9133
2,stage0_head_only,0.441625,0.324755,0.233740,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.7591
3,stage0_head_only,0.444826,0.327133,0.235386,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.7410
4,stage0_head_only,0.441610,0.323125,0.236971,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.8503
5,stage0_head_only,0.445689,0.327209,0.236959,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.8301
6,stage0_head_only,0.452188,0.332506,0.239362,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.7826
7,stage0_head_only,0.440609,0.323406,0.234406,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.8224
8,stage0_head_only,0.446583,0.327748,0.237671,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.6455
9,stage0_head_only,0.439413,0.322995,0.232837,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.6877
10,stage0_head_only,0.434421,0.318390,0.232063,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.6330
11,stage0_head_only,0.439114,0.323166,0.231896,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.6624
12,stage0_head_only,0.443242,0.327470,0.231544,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.5656
13,stage0_head_only,0.446079,0.330211,0.231736,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.5813
14,stage0_head_only,0.441821,0.325740,0.232162,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.7269
15,stage0_head_only,0.431407,0.318572,0.225670,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.7194
16,stage0_head_only,0.442302,0.325412,0.233778,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.6029
17,stage0_head_only,0.444897,0.328672,0.232451,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.6573
18,stage0_head_only,0.433138,0.318206,0.229863,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.6840
19,stage0_head_only,0.436373,0.322002,0.228741,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.7473
20,stage0_head_only,0.442420,0.325646,0.233548,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.5857
21,stage0_head_only,0.429061,0.316820,0.224481,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.5477
22,stage0_head_only,0.431959,0.316987,0.229944,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.7224
23,stage0_head_only,0.433073,0.319449,0.227249,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.9655
24,stage0_head_only,0.432609,0.319346,0.226528,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.6349
25,stage0_head_only,0.426518,0.314704,0.223628,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.6688
26,stage0_head_only,0.431195,0.317280,0.227830,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,0.6432
27,stage0_head_only,0.420765,0.309576,0.222377,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.6324
28,stage0_head_only,0.438784,0.323162,0.231243,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.5420
