step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.452303,0.333848,0.236910,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,0.9611
1,stage0_head_only,0.446363,0.328106,0.236514,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.9575
2,stage0_head_only,0.438571,0.322187,0.232767,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.7835
3,stage0_head_only,0.444408,0.326552,0.235711,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.7476
4,stage0_head_only,0.437988,0.320081,0.235815,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.9300
5,stage0_head_only,0.444967,0.326159,0.237616,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.8814
6,stage0_head_only,0.447904,0.328060,0.239687,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.8695
7,stage0_head_only,0.434910,0.317500,0.234821,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.8793
8,stage0_head_only,0.448278,0.329472,0.237611,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.6000
9,stage0_head_only,0.442686,0.325970,0.233431,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.6014
10,stage0_head_only,0.432368,0.317645,0.229444,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.5525
11,stage0_head_only,0.441213,0.325487,0.231451,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.6848
12,stage0_head_only,0.444126,0.327813,0.232626,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.7023
13,stage0_head_only,0.444081,0.327692,0.232778,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.6974
14,stage0_head_only,0.442433,0.326038,0.232791,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.6362
15,stage0_head_only,0.432521,0.319689,0.225664,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.5918
16,stage0_head_only,0.440532,0.324538,0.231988,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.6418
17,stage0_head_only,0.443125,0.326706,0.232840,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.7161
18,stage0_head_only,0.435069,0.318985,0.232169,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.6058
19,stage0_head_only,0.436765,0.322228,0.229072,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.7923
20,stage0_head_only,0.444802,0.327826,0.233952,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.5739
21,stage0_head_only,0.425736,0.313726,0.224019,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.5561
22,stage0_head_only,0.430369,0.317218,0.226303,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.7748
23,stage0_head_only,0.432348,0.318774,0.227148,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.6526
24,stage0_head_only,0.430130,0.317189,0.225883,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.6910
