step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.441581,0.324469,0.234223,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,0.8351
1,stage0_head_only,0.435146,0.319431,0.231432,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.8714
2,stage0_head_only,0.432399,0.317521,0.229757,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.8266
3,stage0_head_only,0.433426,0.317731,0.231390,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.7623
4,stage0_head_only,0.432621,0.316829,0.231584,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.7825
5,stage0_head_only,0.438739,0.321806,0.233865,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.8434
6,stage0_head_only,0.435566,0.319505,0.232121,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.8903
7,stage0_head_only,0.426822,0.311932,0.229780,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.7043
8,stage0_head_only,0.432448,0.316749,0.231398,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.8326
9,stage0_head_only,0.433873,0.319038,0.229670,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.6712
10,stage0_head_only,0.423686,0.310699,0.225975,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.5832
11,stage0_head_only,0.428945,0.315509,0.226873,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.7047
12,stage0_head_only,0.426260,0.314174,0.224173,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.6320
13,stage0_head_only,0.434133,0.319749,0.228767,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.5154
14,stage0_head_only,0.428339,0.314700,0.227277,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.6222
15,stage0_head_only,0.429970,0.316343,0.227253,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.6641
16,stage0_head_only,0.426589,0.314121,0.224936,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.7673
17,stage0_head_only,0.424748,0.312138,0.225222,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.7237
18,stage0_head_only,0.419147,0.307237,0.223819,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.7453
19,stage0_head_only,0.424514,0.312797,0.223435,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.6372
20,stage0_head_only,0.428860,0.316167,0.225385,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.5743
21,stage0_head_only,0.423451,0.312111,0.222680,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.6317
22,stage0_head_only,0.416060,0.305459,0.221202,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.5932
23,stage0_head_only,0.424514,0.312384,0.224261,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.8114
24,stage0_head_only,0.423326,0.313470,0.219712,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.7723
25,stage0_head_only,0.414439,0.305340,0.218198,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.6190
26,stage0_head_only,0.418275,0.307589,0.221372,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,0.6554
27,stage0_head_only,0.410131,0.301505,0.217252,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.5897
28,stage0_head_only,0.427002,0.314851,0.224302,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.5477
29,stage0_head_only,0.424728,0.312359,0.224738,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.6112
30,stage0_head_only,0.405954,0.299453,0.213002,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.5924
31,stage0_head_only,0.412370,0.303490,0.217761,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.5829
32,stage0_head_only,0.417991,0.308668,0.218646,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.6452
33,stage0_head_only,0.414843,0.305836,0.218013,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.7345
34,stage0_head_only,0.421857,0.311360,0.220994,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.6022
35,stage0_head_only,0.418711,0.309459,0.218506,0.000000,0.000000,0.000000,0.000000,0.000000,4.30e-05,0.5519
36,stage0_head_only,0.410995,0.303094,0.215802,0.000000,0.000000,0.000000,0.000000,0.000000,4.42e-05,0.6487
37,stage0_head_only,0.415727,0.306075,0.219303,0.000000,0.000000,0.000000,0.000000,0.000000,4.53e-05,0.5642
38,stage0_head_only,0.412401,0.305245,0.214312,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-05,0.5992
39,stage0_head_only,0.412734,0.304691,0.216087,0.000000,0.000000,0.000000,0.000000,0.000000,4.77e-05,0.4765
40,stage0_head_only,0.407282,0.300941,0.212683,0.000000,0.000000,0.000000,0.000000,0.000000,4.88e-05,0.5602
41,stage0_head_only,0.415834,0.308379,0.214910,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6151
42,stage0_head_only,0.411204,0.304476,0.213456,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4900
43,stage1_layout,0.419748,0.312061,0.215373,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5462
44,stage1_layout,0.419518,0.311667,0.215702,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5757
45,stage1_layout,0.420510,0.312986,0.215047,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7824
46,stage1_layout,0.414344,0.307260,0.214167,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5571
47,stage1_layout,0.420500,0.313177,0.214646,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6775
48,stage1_layout,0.417572,0.309896,0.215351,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6178
49,stage1_layout,0.417170,0.310298,0.213743,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6561
50,stage1_layout,0.414270,0.307407,0.213726,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7775
51,stage1_layout,0.417005,0.310204,0.213602,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6228
52,stage1_layout,0.420124,0.312749,0.214751,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7197
53,stage1_layout,0.411961,0.305039,0.213844,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7595
54,stage1_layout,0.415131,0.309062,0.212138,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5750
55,stage1_layout,0.416229,0.308546,0.215366,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4419
56,stage1_layout,0.415482,0.308776,0.213413,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6483
57,stage1_layout,0.417308,0.310818,0.212979,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5017
58,stage1_layout,0.412810,0.307210,0.211200,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5982
59,stage1_layout,0.412224,0.307468,0.209513,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5560
60,stage1_layout,0.415665,0.309759,0.211812,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6211
61,stage1_layout,0.409480,0.305335,0.208291,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7191
62,stage1_layout,0.414634,0.308510,0.212248,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4670
63,stage1_layout,0.407907,0.304130,0.207554,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3678
64,stage1_layout,0.417023,0.310336,0.213373,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5686
65,stage1_layout,0.411671,0.305539,0.212264,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4289
66,stage1_layout,0.406323,0.302540,0.207566,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6459
67,stage1_layout,0.405557,0.302038,0.207037,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4858
68,stage1_layout,0.412625,0.308608,0.208034,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7322
69,stage1_layout,0.409208,0.305052,0.208311,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3254
70,stage1_layout,0.403327,0.299994,0.206666,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6634
