step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.452901,0.335304,0.235195,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,0.9926
1,stage0_head_only,0.445927,0.329310,0.233234,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.8414
2,stage0_head_only,0.445758,0.327333,0.236850,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.7700
3,stage0_head_only,0.442553,0.325929,0.233248,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.7819
4,stage0_head_only,0.447094,0.329809,0.234570,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.7469
5,stage0_head_only,0.452063,0.334214,0.235699,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.9665
6,stage0_head_only,0.446597,0.329541,0.234112,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.6829
7,stage0_head_only,0.443463,0.326652,0.233622,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.8412
8,stage0_head_only,0.449834,0.332400,0.234868,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.5860
9,stage0_head_only,0.441106,0.327471,0.227269,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.6675
10,stage0_head_only,0.439287,0.324273,0.230030,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.5434
11,stage0_head_only,0.448824,0.332746,0.232157,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.7639
12,stage0_head_only,0.445838,0.330355,0.230967,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.6110
13,stage0_head_only,0.444506,0.328648,0.231716,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.4667
14,stage0_head_only,0.447860,0.331125,0.233471,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.7763
15,stage0_head_only,0.435107,0.322723,0.224768,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.7140
16,stage0_head_only,0.450097,0.334177,0.231839,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.5141
17,stage0_head_only,0.448758,0.332450,0.232615,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.6992
18,stage0_head_only,0.441585,0.327391,0.228388,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.6834
19,stage0_head_only,0.442752,0.328370,0.228763,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.9747
20,stage0_head_only,0.447853,0.331874,0.231957,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.8139
21,stage0_head_only,0.438148,0.325719,0.224858,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.7499
22,stage0_head_only,0.440885,0.327251,0.227267,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.6632
23,stage0_head_only,0.434017,0.321874,0.224286,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.7311
24,stage0_head_only,0.437691,0.325383,0.224617,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.6714
25,stage0_head_only,0.432583,0.321025,0.223116,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.8607
26,stage0_head_only,0.438848,0.325959,0.225778,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,0.9437
27,stage0_head_only,0.435061,0.322983,0.224156,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.5845
28,stage0_head_only,0.444425,0.329927,0.228996,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.6913
29,stage0_head_only,0.437280,0.324237,0.226087,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.7834
30,stage0_head_only,0.427637,0.316744,0.221787,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.7316
31,stage0_head_only,0.428429,0.317582,0.221694,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.6101
32,stage0_head_only,0.433204,0.321224,0.223960,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.4648
33,stage0_head_only,0.428378,0.318955,0.218844,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.7581
34,stage0_head_only,0.438414,0.326458,0.223912,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.8009
35,stage0_head_only,0.437320,0.325583,0.223473,0.000000,0.000000,0.000000,0.000000,0.000000,4.30e-05,0.7346
36,stage0_head_only,0.438602,0.324896,0.227411,0.000000,0.000000,0.000000,0.000000,0.000000,4.42e-05,0.5188
