step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,autorgn_single,0.457592,0.338366,0.238451,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,1.4803
1,autorgn_single,0.451252,0.333958,0.234587,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.8297
2,autorgn_single,0.452358,0.332546,0.239625,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.7727
3,autorgn_single,0.449412,0.330491,0.237842,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.7713
4,autorgn_single,0.447895,0.330284,0.235221,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.7605
5,autorgn_single,0.445786,0.329261,0.233051,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.9642
6,autorgn_single,0.450045,0.332395,0.235300,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.6732
7,autorgn_single,0.443243,0.326914,0.232657,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.8321
8,autorgn_single,0.454532,0.335766,0.237532,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.5763
9,autorgn_single,0.441328,0.327197,0.228261,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.6439
10,autorgn_single,0.447594,0.330851,0.233485,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.5430
11,autorgn_single,0.450518,0.334480,0.232074,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.7236
12,autorgn_single,0.441710,0.327295,0.228828,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.5987
13,autorgn_single,0.442911,0.327547,0.230728,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.4725
14,autorgn_single,0.445174,0.329093,0.232162,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.7642
15,autorgn_single,0.446236,0.331055,0.230362,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.7256
16,autorgn_single,0.437706,0.324861,0.225689,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.5244
