step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,full_ft_single,0.452901,0.335304,0.235195,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,1.0013
1,full_ft_single,0.445875,0.329282,0.233187,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.8343
2,full_ft_single,0.445588,0.327237,0.236703,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.7812
3,full_ft_single,0.442136,0.325703,0.232867,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.7795
4,full_ft_single,0.446384,0.329419,0.233929,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,0.7401
5,full_ft_single,0.451041,0.333670,0.234742,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,0.9450
6,full_ft_single,0.445270,0.328824,0.232893,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,0.6719
7,full_ft_single,0.441820,0.325787,0.232065,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.8132
8,full_ft_single,0.447851,0.331416,0.232871,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.5595
9,full_ft_single,0.438969,0.326394,0.225150,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.6274
10,full_ft_single,0.437103,0.323246,0.227714,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.5924
11,full_ft_single,0.446499,0.331689,0.229620,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.6674
12,full_ft_single,0.443759,0.329400,0.228716,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.6343
13,full_ft_single,0.442275,0.327728,0.229094,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,0.5540
14,full_ft_single,0.445826,0.330239,0.231174,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.8321
15,full_ft_single,0.432782,0.321652,0.222259,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.7507
16,full_ft_single,0.448264,0.333520,0.229489,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.5699
17,full_ft_single,0.446721,0.331584,0.230275,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.6688
18,full_ft_single,0.439065,0.326237,0.225657,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,0.8653
19,full_ft_single,0.440759,0.327453,0.226612,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.7840
20,full_ft_single,0.445972,0.330935,0.230073,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.7194
21,full_ft_single,0.435993,0.324723,0.222540,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.6494
22,full_ft_single,0.439541,0.326613,0.225857,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.5851
23,full_ft_single,0.432431,0.321087,0.222688,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.7439
24,full_ft_single,0.435434,0.324359,0.222149,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.7219
25,full_ft_single,0.430151,0.319706,0.220889,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.8728
26,full_ft_single,0.436814,0.324968,0.223692,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,1.0539
27,full_ft_single,0.432487,0.321630,0.221713,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.5733
28,full_ft_single,0.442323,0.328898,0.226850,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.6699
29,full_ft_single,0.435615,0.323412,0.224405,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.8907
30,full_ft_single,0.425346,0.315478,0.219737,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.6452
31,full_ft_single,0.426160,0.316524,0.219273,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.4292
32,full_ft_single,0.430768,0.320039,0.221457,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.4185
33,full_ft_single,0.426459,0.318023,0.216871,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.7905
34,full_ft_single,0.437393,0.325942,0.222904,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.5988
35,full_ft_single,0.435472,0.324662,0.221619,0.000000,0.000000,0.000000,0.000000,0.000000,4.30e-05,0.6421
36,full_ft_single,0.436378,0.323674,0.225408,0.000000,0.000000,0.000000,0.000000,0.000000,4.42e-05,0.5288
37,full_ft_single,0.441540,0.328509,0.226063,0.000000,0.000000,0.000000,0.000000,0.000000,4.53e-05,0.6253
38,full_ft_single,0.420895,0.312892,0.216005,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-05,0.4938
39,full_ft_single,0.422495,0.314676,0.215636,0.000000,0.000000,0.000000,0.000000,0.000000,4.77e-05,0.8118
40,full_ft_single,0.429973,0.321608,0.216730,0.000000,0.000000,0.000000,0.000000,0.000000,4.88e-05,0.5025
41,full_ft_single,0.436681,0.323466,0.226431,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6234
42,full_ft_single,0.424791,0.315680,0.218221,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6384
43,full_ft_single,0.432322,0.322239,0.220167,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7893
44,full_ft_single,0.431630,0.321996,0.219268,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5306
45,full_ft_single,0.436548,0.323879,0.225339,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6364
46,full_ft_single,0.432763,0.322931,0.219664,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7541
47,full_ft_single,0.425167,0.315516,0.219303,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4926
48,full_ft_single,0.423745,0.315234,0.217021,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7228
49,full_ft_single,0.427976,0.318881,0.218189,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6478
50,full_ft_single,0.417249,0.310315,0.213870,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6415
51,full_ft_single,0.421942,0.314010,0.215864,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.8137
52,full_ft_single,0.431742,0.321260,0.220965,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6013
53,full_ft_single,0.427643,0.317533,0.220220,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5427
54,full_ft_single,0.427575,0.317195,0.220759,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5225
55,full_ft_single,0.418279,0.311439,0.213679,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5688
56,full_ft_single,0.427007,0.319057,0.215898,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5422
57,full_ft_single,0.426726,0.318252,0.216949,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5119
58,full_ft_single,0.425607,0.317537,0.216141,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7291
59,full_ft_single,0.421680,0.314941,0.213477,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5341
60,full_ft_single,0.429277,0.321090,0.216374,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.8029
61,full_ft_single,0.420331,0.313119,0.214423,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6564
62,full_ft_single,0.419388,0.312823,0.213130,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5823
63,full_ft_single,0.415247,0.308611,0.213272,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5960
64,full_ft_single,0.418780,0.312073,0.213415,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6967
65,full_ft_single,0.434068,0.324085,0.219966,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6680
66,full_ft_single,0.421602,0.315000,0.213203,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5473
67,full_ft_single,0.429008,0.319750,0.218517,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6002
68,full_ft_single,0.424963,0.315671,0.218584,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4961
69,full_ft_single,0.420635,0.314021,0.213227,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4991
70,full_ft_single,0.411795,0.306670,0.210250,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5069
71,full_ft_single,0.427671,0.318154,0.219033,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5334
72,full_ft_single,0.415018,0.308566,0.212905,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4299
73,full_ft_single,0.418155,0.311661,0.212988,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6274
74,full_ft_single,0.434668,0.323375,0.222585,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3920
75,full_ft_single,0.430373,0.321318,0.218110,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4252
76,full_ft_single,0.421773,0.315221,0.213105,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5096
77,full_ft_single,0.426270,0.319519,0.213503,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5237
78,full_ft_single,0.415307,0.308236,0.214142,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6860
79,full_ft_single,0.422882,0.315464,0.214837,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6839
80,full_ft_single,0.424164,0.317361,0.213607,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4665
81,full_ft_single,0.417216,0.311556,0.211320,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5586
82,full_ft_single,0.421713,0.314498,0.214431,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4488
83,full_ft_single,0.428796,0.319530,0.218533,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4933
84,full_ft_single,0.425893,0.318468,0.214851,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4980
85,full_ft_single,0.413553,0.308772,0.209561,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4445
86,full_ft_single,0.425564,0.315932,0.219264,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4341
87,full_ft_single,0.425337,0.316709,0.217256,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7202
88,full_ft_single,0.421073,0.315754,0.210638,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5933
89,full_ft_single,0.422777,0.317317,0.210921,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4025
90,full_ft_single,0.421099,0.313808,0.214582,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5364
91,full_ft_single,0.422447,0.316741,0.211411,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6054
92,full_ft_single,0.421115,0.315322,0.211585,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4295
93,full_ft_single,0.418522,0.312204,0.212637,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3708
94,full_ft_single,0.422920,0.314678,0.216484,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4598
95,full_ft_single,0.423008,0.315655,0.214705,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4071
96,full_ft_single,0.428162,0.320426,0.215472,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3930
97,full_ft_single,0.419942,0.312963,0.213959,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6172
98,full_ft_single,0.420057,0.313880,0.212354,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4663
99,full_ft_single,0.429717,0.321563,0.216308,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5726
100,full_ft_single,0.415515,0.310365,0.210300,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5084
101,full_ft_single,0.420367,0.314833,0.211068,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5297
102,full_ft_single,0.428732,0.320864,0.215736,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6854
103,full_ft_single,0.420022,0.314313,0.211419,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4392
104,full_ft_single,0.417241,0.311807,0.210869,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6202
105,full_ft_single,0.415616,0.309344,0.212544,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7042
106,full_ft_single,0.405069,0.302246,0.205646,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6926
107,full_ft_single,0.411303,0.306592,0.209422,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3944
108,full_ft_single,0.430010,0.321404,0.217213,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6755
109,full_ft_single,0.428263,0.319564,0.217399,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4603
110,full_ft_single,0.418168,0.311377,0.213582,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7466
111,full_ft_single,0.431466,0.323042,0.216849,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7029
112,full_ft_single,0.428099,0.318161,0.219876,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4939
113,full_ft_single,0.419318,0.311165,0.216308,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4259
114,full_ft_single,0.419221,0.313695,0.211053,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3911
115,full_ft_single,0.419584,0.313822,0.211524,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5704
116,full_ft_single,0.430266,0.323013,0.214506,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4087
117,full_ft_single,0.429132,0.321778,0.214707,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4786
118,full_ft_single,0.420888,0.314605,0.212565,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6218
119,full_ft_single,0.420945,0.314645,0.212600,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6324
120,full_ft_single,0.419789,0.313009,0.213558,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3032
121,full_ft_single,0.429673,0.322110,0.215125,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4293
122,full_ft_single,0.420119,0.314035,0.212168,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5396
123,full_ft_single,0.418666,0.313009,0.211313,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5516
124,full_ft_single,0.419407,0.315129,0.208555,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5583
125,full_ft_single,0.422574,0.316844,0.211459,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4672
126,full_ft_single,0.411735,0.308051,0.207367,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4265
127,full_ft_single,0.417864,0.312725,0.210278,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6480
128,full_ft_single,0.423264,0.317157,0.212213,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5085
129,full_ft_single,0.421706,0.314628,0.214156,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4266
130,full_ft_single,0.425232,0.317733,0.214998,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3899
131,full_ft_single,0.418529,0.313917,0.209224,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5520
132,full_ft_single,0.412886,0.308596,0.208581,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6565
133,full_ft_single,0.412853,0.309139,0.207428,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5133
134,full_ft_single,0.417049,0.311329,0.211439,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5767
135,full_ft_single,0.420193,0.313447,0.213493,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.8164
136,full_ft_single,0.420914,0.314171,0.213485,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7932
137,full_ft_single,0.425166,0.318403,0.213526,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.8463
138,full_ft_single,0.422566,0.316008,0.213117,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7169
139,full_ft_single,0.426586,0.319713,0.213746,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5639
140,full_ft_single,0.413314,0.309857,0.206914,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3830
141,full_ft_single,0.431628,0.322538,0.218180,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6386
142,full_ft_single,0.424819,0.316981,0.215676,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5709
143,full_ft_single,0.413338,0.309507,0.207664,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5295
144,full_ft_single,0.413800,0.308168,0.211264,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6459
145,full_ft_single,0.412575,0.307901,0.209348,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6511
146,full_ft_single,0.416567,0.312545,0.208044,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4373
147,full_ft_single,0.424608,0.317214,0.214788,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6705
148,full_ft_single,0.418059,0.313152,0.209814,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3099
149,full_ft_single,0.411488,0.306463,0.210050,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4757
150,full_ft_single,0.411147,0.307114,0.208067,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4068
151,full_ft_single,0.416787,0.312011,0.209553,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4677
152,full_ft_single,0.417646,0.311944,0.211403,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5119
153,full_ft_single,0.423100,0.316482,0.213235,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3834
154,full_ft_single,0.417002,0.311279,0.211445,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5006
155,full_ft_single,0.417294,0.312697,0.209194,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5876
156,full_ft_single,0.421865,0.316071,0.211587,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5585
157,full_ft_single,0.413205,0.310557,0.205296,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5426
158,full_ft_single,0.414329,0.310002,0.208653,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4055
159,full_ft_single,0.433663,0.324195,0.218935,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4680
160,full_ft_single,0.417725,0.313161,0.209130,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4263
161,full_ft_single,0.406612,0.304228,0.204767,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4558
162,full_ft_single,0.408682,0.305303,0.206758,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3878
163,full_ft_single,0.416788,0.312173,0.209229,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5055
