step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.452901,0.335304,0.235195,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-07,0.9926
1,stage0_head_only,0.446077,0.329411,0.233332,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-07,0.8482
2,stage0_head_only,0.446197,0.327625,0.237145,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-07,0.7925
3,stage0_head_only,0.443456,0.326527,0.233858,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-06,0.7957
4,stage0_head_only,0.448588,0.330805,0.235566,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-06,0.7968
5,stage0_head_only,0.454202,0.335594,0.237217,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-06,1.0329
6,stage0_head_only,0.449499,0.331446,0.236106,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-06,0.7533
7,stage0_head_only,0.447130,0.329073,0.236114,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-06,0.9680
8,stage0_head_only,0.454041,0.335133,0.237817,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,0.6905
9,stage0_head_only,0.446536,0.330962,0.231148,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-06,0.8270
10,stage0_head_only,0.444839,0.327835,0.234010,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-06,0.6721
11,stage0_head_only,0.455419,0.336994,0.236849,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-06,0.9822
12,stage0_head_only,0.451867,0.334215,0.235305,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-06,0.8339
13,stage0_head_only,0.451907,0.333441,0.236933,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,0.7126
14,stage0_head_only,0.453648,0.334778,0.237741,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-06,0.9552
15,stage0_head_only,0.442476,0.327487,0.229979,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-06,0.7194
16,stage0_head_only,0.458491,0.339520,0.237941,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-06,0.6883
17,stage0_head_only,0.455786,0.336936,0.237701,0.000000,0.000000,0.000000,0.000000,0.000000,4.42e-06,0.7528
18,stage0_head_only,0.449300,0.332439,0.233723,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,0.7361
19,stage0_head_only,0.449738,0.332860,0.233756,0.000000,0.000000,0.000000,0.000000,0.000000,4.88e-06,0.8285
20,stage0_head_only,0.454425,0.336116,0.236618,0.000000,0.000000,0.000000,0.000000,0.000000,5.12e-06,0.7652
21,stage0_head_only,0.444644,0.329888,0.229513,0.000000,0.000000,0.000000,0.000000,0.000000,5.35e-06,0.6311
22,stage0_head_only,0.447528,0.331579,0.231899,0.000000,0.000000,0.000000,0.000000,0.000000,5.58e-06,0.7332
23,stage0_head_only,0.440597,0.326140,0.228913,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,0.9046
24,stage0_head_only,0.444095,0.329498,0.229192,0.000000,0.000000,0.000000,0.000000,0.000000,6.05e-06,0.7835
