step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.463383,0.000000,0.894244,3.08e-07,28.6612,0.04,
1,0,0.458141,0.000000,0.987691,6.15e-07,28.5767,0.04,
2,0,0.452734,0.000000,0.930515,9.23e-07,33.4513,0.05,
3,0,0.451575,0.000000,0.914936,1.23e-06,28.3799,0.05,
4,0,0.452329,0.000000,0.911873,1.54e-06,25.7565,0.05,
5,0,0.456305,0.000000,0.920156,1.85e-06,26.5446,0.05,
6,0,0.448024,0.000000,0.870907,2.15e-06,25.8162,0.05,
7,0,0.453904,0.000000,1.035930,2.46e-06,24.1250,0.05,
8,0,0.454266,0.000000,0.926639,2.77e-06,8.1364,0.05,
9,0,0.455022,0.000000,0.908001,3.08e-06,11.7538,0.05,
10,0,0.446186,0.000000,0.860468,3.38e-06,17.8021,0.05,
11,0,0.458624,0.000000,0.857282,3.69e-06,8.7954,0.05,
12,0,0.447526,0.000000,0.833482,4.00e-06,6.7518,0.05,
13,0,0.458270,0.000000,0.837676,4.31e-06,6.6186,0.05,
14,0,0.458233,0.000000,0.835601,4.62e-06,6.7319,0.06,
15,0,0.446026,0.000000,0.818510,4.92e-06,6.7427,0.05,
16,0,0.453107,0.000000,0.857439,5.23e-06,12.1821,0.05,
17,0,0.452174,0.000000,0.808992,5.54e-06,4.8762,0.05,
18,0,0.436907,0.000000,0.780589,5.85e-06,3.3391,0.05,
19,0,0.453505,0.000000,0.824021,6.15e-06,2.3146,0.05,
20,0,0.443243,0.000000,0.822975,6.46e-06,1.7748,0.05,
21,0,0.441432,0.000000,0.912110,6.77e-06,2.0661,0.05,
22,0,0.433176,0.000000,0.872350,7.08e-06,1.2595,0.05,
23,0,0.430475,0.000000,0.782955,7.38e-06,1.4296,0.05,
24,0,0.442345,0.000000,0.798841,7.69e-06,2.6979,0.05,
25,0,0.445936,0.000000,0.790342,8.00e-06,2.9118,0.05,
26,0,0.445131,0.000000,0.797565,8.31e-06,2.8587,0.05,
27,0,0.438919,0.000000,0.775712,8.62e-06,0.9873,0.05,
28,0,0.446385,0.000000,0.749419,8.92e-06,3.4731,0.05,
29,0,0.444351,0.000000,0.764236,9.23e-06,0.8228,0.06,
30,0,0.437649,0.000000,0.788447,9.54e-06,0.9660,0.05,
31,0,0.433032,0.000000,0.759278,9.85e-06,0.5178,0.05,
32,0,0.432964,0.000000,0.718383,1.02e-05,0.4671,0.05,
33,0,0.437458,0.000000,0.719034,1.05e-05,0.6545,0.05,
34,0,0.441414,0.000000,0.743060,1.08e-05,1.7226,0.05,
35,0,0.435545,0.000000,0.668408,1.11e-05,1.4080,0.05,
36,0,0.437286,0.000000,0.734656,1.14e-05,0.4973,0.05,
37,0,0.437481,0.000000,0.747099,1.17e-05,0.4225,0.05,
38,0,0.431152,0.000000,0.690135,1.20e-05,0.5549,0.05,
39,0,0.430993,0.000000,0.704055,1.23e-05,1.4190,0.05,
40,0,0.425894,0.000000,0.753276,1.26e-05,0.6369,0.06,
41,0,0.437248,0.000000,0.792854,1.29e-05,1.4017,0.05,
42,0,0.417143,0.000000,0.909503,1.32e-05,0.7671,0.05,
43,0,0.433348,0.000000,0.802017,1.35e-05,0.4653,0.05,
44,0,0.428827,0.000000,0.774002,1.38e-05,0.3930,0.06,
45,0,0.417763,0.000000,0.701763,1.42e-05,1.1168,0.05,
46,0,0.417283,0.000000,0.808614,1.45e-05,0.6455,0.05,
47,0,0.428424,0.000000,0.812353,1.48e-05,0.3976,0.05,
48,0,0.412062,0.000000,0.808814,1.51e-05,0.4303,0.05,
49,0,0.429941,0.000000,0.757579,1.54e-05,0.5184,0.06,
50,0,0.422903,0.000000,0.742944,1.57e-05,0.5656,0.05,
51,0,0.419942,0.000000,0.673067,1.60e-05,0.5934,0.05,
52,0,0.426935,0.000000,0.656774,1.63e-05,1.6983,0.05,
53,0,0.427172,0.000000,0.687539,1.66e-05,0.3341,0.05,
54,0,0.426647,0.000000,0.728545,1.69e-05,0.4878,0.05,
55,0,0.425559,0.000000,0.789860,1.72e-05,1.4135,0.05,
56,0,0.418675,0.000000,0.775717,1.75e-05,0.3856,0.05,
