step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.414325,0.309717,0.209216,0.000000,0.000000,0.000000,0.000000,0.000000,3.69e-07,1.0330
1,stage0_head_only,0.414049,0.308503,0.211092,0.000000,0.000000,0.000000,0.000000,0.000000,5.54e-07,0.9995
2,stage0_head_only,0.406230,0.301480,0.209500,0.000000,0.000000,0.000000,0.000000,0.000000,7.38e-07,0.9487
3,stage0_head_only,0.405021,0.300933,0.208176,0.000000,0.000000,0.000000,0.000000,0.000000,9.23e-07,1.0844
4,stage0_head_only,0.396299,0.293498,0.205602,0.000000,0.000000,0.000000,0.000000,0.000000,1.11e-06,1.0462
5,stage0_head_only,0.409303,0.304007,0.210590,0.000000,0.000000,0.000000,0.000000,0.000000,1.29e-06,1.1337
6,stage0_head_only,0.414944,0.308371,0.213147,0.000000,0.000000,0.000000,0.000000,0.000000,1.48e-06,1.0858
7,stage0_head_only,0.400571,0.296114,0.208913,0.000000,0.000000,0.000000,0.000000,0.000000,1.66e-06,1.0543
8,stage0_head_only,0.408957,0.303985,0.209944,0.000000,0.000000,0.000000,0.000000,0.000000,1.85e-06,0.9176
9,stage0_head_only,0.404305,0.300049,0.208513,0.000000,0.000000,0.000000,0.000000,0.000000,2.03e-06,1.1321
10,stage0_head_only,0.405554,0.301805,0.207497,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-06,1.1460
11,stage0_head_only,0.418015,0.311161,0.213708,0.000000,0.000000,0.000000,0.000000,0.000000,2.40e-06,0.9758
12,stage0_head_only,0.418044,0.312212,0.211664,0.000000,0.000000,0.000000,0.000000,0.000000,2.58e-06,0.9296
13,stage0_head_only,0.410678,0.305302,0.210752,0.000000,0.000000,0.000000,0.000000,0.000000,2.77e-06,1.0223
14,stage0_head_only,0.407594,0.303080,0.209029,0.000000,0.000000,0.000000,0.000000,0.000000,2.95e-06,0.8687
15,stage0_head_only,0.418028,0.309874,0.216307,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-06,0.8178
16,stage0_head_only,0.419978,0.312434,0.215088,0.000000,0.000000,0.000000,0.000000,0.000000,3.32e-06,0.9279
17,stage0_head_only,0.410869,0.305080,0.211577,0.000000,0.000000,0.000000,0.000000,0.000000,3.51e-06,0.8184
18,stage0_head_only,0.397703,0.294585,0.206235,0.000000,0.000000,0.000000,0.000000,0.000000,3.69e-06,0.7224
19,stage0_head_only,0.402775,0.298011,0.209529,0.000000,0.000000,0.000000,0.000000,0.000000,3.87e-06,0.9695
20,stage0_head_only,0.402717,0.297743,0.209949,0.000000,0.000000,0.000000,0.000000,0.000000,4.06e-06,0.9525
21,stage0_head_only,0.417756,0.312796,0.209921,0.000000,0.000000,0.000000,0.000000,0.000000,4.24e-06,0.8231
22,stage0_head_only,0.400597,0.296959,0.207276,0.000000,0.000000,0.000000,0.000000,0.000000,4.43e-06,0.7432
23,stage0_head_only,0.399822,0.296795,0.206055,0.000000,0.000000,0.000000,0.000000,0.000000,4.61e-06,0.8768
24,stage0_head_only,0.405689,0.301275,0.208827,0.000000,0.000000,0.000000,0.000000,0.000000,4.80e-06,0.7808
25,stage0_head_only,0.401001,0.297771,0.206461,0.000000,0.000000,0.000000,0.000000,0.000000,4.98e-06,0.9098
26,stage0_head_only,0.406436,0.302181,0.208509,0.000000,0.000000,0.000000,0.000000,0.000000,5.17e-06,0.8212
27,stage0_head_only,0.405102,0.301181,0.207840,0.000000,0.000000,0.000000,0.000000,0.000000,5.35e-06,0.7462
28,stage0_head_only,0.418056,0.312420,0.211272,0.000000,0.000000,0.000000,0.000000,0.000000,5.54e-06,0.8012
29,stage0_head_only,0.411943,0.307202,0.209482,0.000000,0.000000,0.000000,0.000000,0.000000,5.72e-06,0.8131
30,stage0_head_only,0.402500,0.298891,0.207219,0.000000,0.000000,0.000000,0.000000,0.000000,5.90e-06,0.7265
31,stage0_head_only,0.394318,0.291919,0.204799,0.000000,0.000000,0.000000,0.000000,0.000000,6.09e-06,0.7733
32,stage0_head_only,0.397505,0.294930,0.205148,0.000000,0.000000,0.000000,0.000000,0.000000,6.27e-06,0.6902
33,stage0_head_only,0.403311,0.300173,0.206276,0.000000,0.000000,0.000000,0.000000,0.000000,6.46e-06,0.7309
34,stage0_head_only,0.397413,0.292791,0.209243,0.000000,0.000000,0.000000,0.000000,0.000000,6.64e-06,0.7369
35,stage0_head_only,0.402872,0.299383,0.206978,0.000000,0.000000,0.000000,0.000000,0.000000,6.83e-06,0.7352
36,stage0_head_only,0.405357,0.302230,0.206255,0.000000,0.000000,0.000000,0.000000,0.000000,7.01e-06,0.8464
37,stage0_head_only,0.398320,0.296084,0.204472,0.000000,0.000000,0.000000,0.000000,0.000000,7.20e-06,0.7616
38,stage0_head_only,0.402731,0.299405,0.206653,0.000000,0.000000,0.000000,0.000000,0.000000,7.38e-06,0.7560
39,stage0_head_only,0.407166,0.303284,0.207763,0.000000,0.000000,0.000000,0.000000,0.000000,7.56e-06,0.5848
40,stage0_head_only,0.401846,0.298750,0.206193,0.000000,0.000000,0.000000,0.000000,0.000000,7.75e-06,0.7044
41,stage0_head_only,0.401546,0.298658,0.205776,0.000000,0.000000,0.000000,0.000000,0.000000,7.93e-06,0.7942
42,stage0_head_only,0.398109,0.297246,0.201727,0.000000,0.000000,0.000000,0.000000,0.000000,8.12e-06,0.8066
43,stage0_head_only,0.405388,0.300327,0.210124,0.000000,0.000000,0.000000,0.000000,0.000000,8.30e-06,0.7432
44,stage0_head_only,0.399577,0.296443,0.206267,0.000000,0.000000,0.000000,0.000000,0.000000,8.49e-06,0.6176
45,stage0_head_only,0.402466,0.299090,0.206751,0.000000,0.000000,0.000000,0.000000,0.000000,8.67e-06,0.6474
46,stage0_head_only,0.392753,0.292025,0.201457,0.000000,0.000000,0.000000,0.000000,0.000000,8.86e-06,0.6027
47,stage0_head_only,0.399889,0.298494,0.202790,0.000000,0.000000,0.000000,0.000000,0.000000,9.04e-06,0.6884
48,stage0_head_only,0.391127,0.289549,0.203156,0.000000,0.000000,0.000000,0.000000,0.000000,9.23e-06,0.5812
49,stage0_head_only,0.398769,0.297332,0.202874,0.000000,0.000000,0.000000,0.000000,0.000000,9.41e-06,0.6884
50,stage0_head_only,0.395328,0.294941,0.200774,0.000000,0.000000,0.000000,0.000000,0.000000,9.59e-06,0.6183
51,stage0_head_only,0.397734,0.295706,0.204057,0.000000,0.000000,0.000000,0.000000,0.000000,9.78e-06,0.6816
52,stage0_head_only,0.407280,0.303236,0.208088,0.000000,0.000000,0.000000,0.000000,0.000000,9.96e-06,0.6298
53,stage0_head_only,0.396480,0.295355,0.202251,0.000000,0.000000,0.000000,0.000000,0.000000,1.01e-05,0.7551
54,stage0_head_only,0.401488,0.298130,0.206715,0.000000,0.000000,0.000000,0.000000,0.000000,1.03e-05,0.6364
55,stage0_head_only,0.409515,0.305700,0.207630,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,0.5879
56,stage0_head_only,0.397535,0.296378,0.202314,0.000000,0.000000,0.000000,0.000000,0.000000,1.07e-05,0.6197
57,stage0_head_only,0.408487,0.305643,0.205687,0.000000,0.000000,0.000000,0.000000,0.000000,1.09e-05,0.6897
