scale,metric,direction,unit,arm_a,arm_b,side_a,side_b,n,raw_delta_a_minus_b,raw_ci_lo,raw_ci_hi,a_advantage,a_adv_ci_lo,a_adv_ci_hi,separated,p_value,source
POC-2B,act,higher,pp,full_ft_encoder,surgery_raw_encoder,COMP,OURS,1825,2.0274,0.0,3.9924,2.0274,0.0,3.9924,False,0.0476,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_diheavy_encoder,COMP,OURS,1825,2.6849,0.7671,4.6027,2.6849,0.7671,4.6027,True,0.0054,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_encoder,COMP,OURS,1825,3.5616,1.5342,5.589,3.5616,1.5342,5.589,True,0.0012,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_head,COMP,OURS,1825,2.7397,0.7671,4.7671,2.7397,0.7671,4.7671,True,0.0092,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_intervene_encoder,COMP,OURS,1825,1.863,-0.0548,3.8356,1.863,-0.0548,3.8356,False,0.0606,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_replay25_encoder,COMP,OURS,1825,2.6849,0.7671,4.6027,2.6849,0.7671,4.6027,True,0.0056,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_tccaux_encoder,COMP,OURS,1825,3.2877,1.3151,5.2603,3.2877,1.3151,5.2603,True,0.0016,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_wiseft_encoder,COMP,OURS,1825,4.1644,2.0822,6.137,4.1644,2.0822,6.137,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_intervene_wiseft_f30_encoder,COMP,OURS,1825,4.5479,2.4658,6.6301,4.5479,2.4658,6.6301,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_intervene_wiseft_f50_encoder,COMP,OURS,1825,5.1507,2.9589,7.3425,5.1507,2.9589,7.3425,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_intervene_wiseft_f70_encoder,COMP,OURS,1825,5.2603,3.0685,7.5068,5.2603,3.0685,7.5068,True,0.0,probe_action/probe_paired_delta.json
