scale,metric,direction,unit,arm_a,arm_b,side_a,side_b,n,raw_delta_a_minus_b,raw_ci_lo,raw_ci_hi,a_advantage,a_adv_ci_lo,a_adv_ci_hi,separated,p_value,source
POC-2B,act,higher,pp,frozen,full_ft_encoder,REF,COMP,1825,-8.4384,-10.7397,-6.0822,-8.4384,-10.7397,-6.0822,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,lpft_encoder,REF,COMP,1825,-4.7671,-7.0685,-2.5753,-4.7671,-7.0685,-2.5753,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,peft_dora_encoder,REF,COMP,1825,-8.3288,-10.6301,-6.0822,-8.3288,-10.6301,-6.0822,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,peft_lora_encoder,REF,COMP,1825,-6.6301,-8.9315,-4.274,-6.6301,-8.9315,-4.274,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,pretrain_encoder,REF,COMP,1825,-8.5479,-10.7397,-6.137,-8.5479,-10.7397,-6.137,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgery_raw_encoder,REF,OURS,1825,-6.411,-8.7123,-3.9452,-6.411,-8.7123,-3.9452,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgical_3stage_DI_diheavy_encoder,REF,OURS,1825,-5.7534,-7.9452,-3.4521,-5.7534,-7.9452,-3.4521,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgical_3stage_DI_encoder,REF,OURS,1825,-4.8767,-7.3425,-2.411,-4.8767,-7.3425,-2.411,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgical_3stage_DI_head,REF,OURS,1825,-5.6986,-7.8356,-3.5068,-5.6986,-7.8356,-3.5068,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgical_3stage_DI_intervene_encoder,REF,OURS,1825,-6.5753,-8.8219,-4.1644,-6.5753,-8.8219,-4.1644,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgical_3stage_DI_replay25_encoder,REF,OURS,1825,-5.7534,-7.9452,-3.5616,-5.7534,-7.9452,-3.5616,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgical_3stage_DI_tccaux_encoder,REF,OURS,1825,-5.1507,-7.3973,-2.7945,-5.1507,-7.3973,-2.7945,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgical_3stage_DI_wiseft_encoder,REF,OURS,1825,-4.274,-6.3562,-2.137,-4.274,-6.3562,-2.137,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgical_autorgn_encoder,REF,COMP,1825,-8.0,-10.2466,-5.7534,-8.0,-10.2466,-5.7534,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgical_intervene_wiseft_f30_encoder,REF,OURS,1825,-3.8904,-6.2466,-1.4247,-3.8904,-6.2466,-1.4247,True,0.0022,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgical_intervene_wiseft_f50_encoder,REF,OURS,1825,-3.2877,-5.4247,-1.0959,-3.2877,-5.4247,-1.0959,True,0.0028,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgical_intervene_wiseft_f70_encoder,REF,OURS,1825,-3.1781,-5.3699,-0.9315,-3.1781,-5.3699,-0.9315,True,0.0058,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgical_noDI_encoder,REF,OURS,1825,-6.3014,-8.6027,-4.0,-6.3014,-8.6027,-4.0,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,frozen,surgical_noDI_head,REF,OURS,1825,-5.3699,-7.7808,-3.0137,-5.3699,-7.7808,-3.0137,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,lpft_encoder,COMP,COMP,1825,3.6712,1.589,5.6986,3.6712,1.589,5.6986,True,0.0002,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,peft_dora_encoder,COMP,COMP,1825,0.1096,-1.6986,1.9178,0.1096,-1.6986,1.9178,False,0.9204,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,peft_lora_encoder,COMP,COMP,1825,1.8082,-0.1096,3.5616,1.8082,-0.1096,3.5616,False,0.0566,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,pretrain_encoder,COMP,COMP,1825,-0.1096,-2.0274,1.8082,-0.1096,-2.0274,1.8082,False,0.9292,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgery_raw_encoder,COMP,OURS,1825,2.0274,0.0,3.9924,2.0274,0.0,3.9924,False,0.0476,probe_action/probe_paired_delta.json
